row_index,source_row_index,pair_id,clip_id,split,clean_text,url,url_norm,trim_mode,start,end,start_time,end_time,local_video_path,has_video,download_status,error_message,fps_out,frame_count_out,video_width_out,video_height_out,duration_sec_out
0,0,165d3124dde5004c,04b86a4f90f2e5a7,train,match,https://www.youtube.com/watch?v=C37R_Ix8-qs,https://www.youtube.com/watch?v=C37R_Ix8-qs,frames,0,83,0.0,2.767,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_165d3124dde5004c_frames.mp4,True,already_exists,,30.0,84.0,640.0,360.0,2.8
1,1,2c1581c463998473,4a436ea6425a64bd,train,fail,https://www.youtube.com/watch?v=PIsUJl8BN_I,https://www.youtube.com/watch?v=PIsUJl8BN_I,frames,0,74,0.0,2.96,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_2c1581c463998473_frames.mp4,True,already_exists,,25.0,75.0,480.0,360.0,3.0
2,2,c4457c33a0a821e4,5f6dd01b571733fd,train,laugh,www.youtube.com/watch?v=9FdHlMOnVjg,https://www.youtube.com/watch?v=9FdHlMOnVjg,frames,0,31,0.0,1.034,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_c4457c33a0a821e4_frames.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_yfyrmi99\\raw.%(ext)s', 'https://www.youtube.com/watch?v=9FdHlMOnVjg']' returned non-zero exit status 1.",,,,,
3,3,d7544caee572ba54,ee5482a042c28fce,train,book,https://www.youtube.com/watch?v=J7tP98oDxqE,https://www.youtube.com/watch?v=J7tP98oDxqE,frames,0,66,0.0,2.64,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_d7544caee572ba54_frames.mp4,True,already_exists,,25.0,67.0,480.0,360.0,2.68
4,4,bcdca3dc3f50112b,8b140950b7f3400a,train,sign language,www.youtube.com/watch?v=N2mG9ZKjrGA,https://www.youtube.com/watch?v=N2mG9ZKjrGA,frames,0,75,0.0,2.502,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_bcdca3dc3f50112b_frames.mp4,True,already_exists,,29.97002997002997,76.0,640.0,360.0,2.5358666666666667
5,5,be0fc7b641d4dc62,f853e28e15c11c94,train,school,https://www.youtube.com/watch?v=1AyT77LqJzQ,https://www.youtube.com/watch?v=1AyT77LqJzQ,frames,33,110,1.101,3.67,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_be0fc7b641d4dc62_frames.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_48a0fffu\\raw.%(ext)s', 'https://www.youtube.com/watch?v=1AyT77LqJzQ']' returned non-zero exit status 1.",,,,,
6,6,40a044975f43e845,8e95d44b08038dd9,train,school,https://www.youtube.com/watch?v=1AyT77LqJzQ,https://www.youtube.com/watch?v=1AyT77LqJzQ,frames,140,206,4.671,6.874,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_40a044975f43e845_frames.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_g24p5fw5\\raw.%(ext)s', 'https://www.youtube.com/watch?v=1AyT77LqJzQ']' returned non-zero exit status 1.",,,,,
7,7,3c7b932870ed1d37,dcdf465288b27e9a,train,easter,https://www.youtube.com/watch?v=SVWABYmFdhs,https://www.youtube.com/watch?v=SVWABYmFdhs,frames,0,116,0.0,3.92,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_3c7b932870ed1d37_frames.mp4,True,already_exists,,29.595,117.0,640.0,360.0,3.9533705017739487
8,8,2f38455169fac575,509dc0b4df4357d7,train,boring,https://www.youtube.com/watch?v=CYx7qm62Zwo,https://www.youtube.com/watch?v=CYx7qm62Zwo,frames,0,71,0.0,2.84,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_2f38455169fac575_frames.mp4,True,already_exists,,25.0,72.0,640.0,360.0,2.88
9,9,24bba3e9ff88b8fb,de98b79c62ecb2dc,train,past,https://www.youtube.com/watch?v=cJOyCgIKyeA,https://www.youtube.com/watch?v=cJOyCgIKyeA,frames,0,32,0.0,1.068,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_24bba3e9ff88b8fb_frames.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_0yfk0vfq\\raw.%(ext)s', 'https://www.youtube.com/watch?v=cJOyCgIKyeA']' returned non-zero exit status 1.",,,,,
10,0,165d3124dde5004c,6bc7d2d16de38798,train,match,https://www.youtube.com/watch?v=C37R_Ix8-qs,https://www.youtube.com/watch?v=C37R_Ix8-qs,seconds,0,83,0.0,2.767,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL\msasl_train_165d3124dde5004c_seconds.mp4,True,already_exists,,30.0,84.0,640.0,360.0,2.8
