org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,review,split,url_norm,video_id,video_key,local_video_path,has_video,download_status,attempts_used,error_message,fps_out,frame_count_out,video_width_out,video_height_out,duration_sec_out,row_index
match [light-a-MATCH],match,0.0,0,0,0,83,match light-a-MATCH,830,360.0,30.0,2.767,https://www.youtube.com/watch?v=C37R_Ix8-qs,match,"[0.05754461884498596, 0.21637457609176636, 1.0, 0.7300844192504883]",640.0,,train,https://www.youtube.com/watch?v=C37R_Ix8-qs,C37R_Ix8-qs,C37R_Ix8-qs,MS-ASL/videos_MS_ASL_raw/msasl_raw_C37R_Ix8-qs.mp4,True,already_exists,0,,30.0,85.0,640.0,360.0,2.8333333333333335,0
FAIL,fail,0.0,0,-1,0,74,FAIL,542,360.0,25.0,2.96,https://www.youtube.com/watch?v=PIsUJl8BN_I,fail,"[0.0657794177532196, 0.16717177629470825, 0.9392627477645874, 0.9187960028648376]",480.0,,train,https://www.youtube.com/watch?v=PIsUJl8BN_I,PIsUJl8BN_I,PIsUJl8BN_I,MS-ASL/videos_MS_ASL_raw/msasl_raw_PIsUJl8BN_I.mp4,True,already_exists,0,,25.0,76.0,480.0,360.0,3.04,1
laugh,laugh,0.0,4,26,0,31,SignSchool Laugh with Legs 2,312,360.0,29.97,1.034,www.youtube.com/watch?v=9FdHlMOnVjg,laugh,"[0.13188594579696655, 0.32334136962890625, 1.0, 0.831863522529602]",640.0,,train,https://www.youtube.com/watch?v=9FdHlMOnVjg,9FdHlMOnVjg,9FdHlMOnVjg,,False,failed,1,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\kacpe\\AppData\\Local\\Temp\\msasl_raw_in_1edrn\\raw.%(ext)s', '--no-cache-dir', 'https://www.youtube.com/watch?v=9FdHlMOnVjg']' returned non-zero exit status 1.",,,,,,2
BOOK,book,0.0,0,-1,0,66,BOOK(3),38,360.0,25.0,2.64,https://www.youtube.com/watch?v=J7tP98oDxqE,book,"[0.05569887161254883, 0.25173279643058777, 0.9968159794807434, 0.9009996652603149]",480.0,,train,https://www.youtube.com/watch?v=J7tP98oDxqE,J7tP98oDxqE,J7tP98oDxqE,MS-ASL/videos_MS_ASL_raw/msasl_raw_J7tP98oDxqE.mp4,True,already_exists,0,,25.0,67.0,480.0,360.0,2.68,3
sign-language,sign language,0.0,0,-1,0,75,SIGN-LANGUAGE-S-CLAW-F,848,360.0,29.97,2.502,www.youtube.com/watch?v=N2mG9ZKjrGA,sign language,"[0.03904399275779724, 0.24198183417320251, 1.0, 0.8586810827255249]",640.0,,train,https://www.youtube.com/watch?v=N2mG9ZKjrGA,N2mG9ZKjrGA,N2mG9ZKjrGA,MS-ASL/videos_MS_ASL_raw/msasl_raw_N2mG9ZKjrGA.mp4,True,already_exists,0,,29.97002997002997,77.0,640.0,360.0,2.5692333333333335,4
school,school,1.101,1,44,33,110,ASL Vocabulary school,10,360.0,29.97,3.67,https://www.youtube.com/watch?v=1AyT77LqJzQ,school,"[0.0, 0.07651948928833008, 1.0, 1.0]",640.0,1.0,train,https://www.youtube.com/watch?v=1AyT77LqJzQ,1AyT77LqJzQ,1AyT77LqJzQ,,False,failed,1,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\kacpe\\AppData\\Local\\Temp\\msasl_raw_ach4c5m1\\raw.%(ext)s', '--no-cache-dir', 'https://www.youtube.com/watch?v=1AyT77LqJzQ']' returned non-zero exit status 1.",,,,,,5
school,school,4.671,1,44,140,206,ASL Vocabulary school,10,360.0,29.97,6.874,https://www.youtube.com/watch?v=1AyT77LqJzQ,school,"[0.0, 0.07651948928833008, 1.0, 1.0]",640.0,1.0,train,https://www.youtube.com/watch?v=1AyT77LqJzQ,1AyT77LqJzQ,1AyT77LqJzQ,,False,failed,1,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\kacpe\\AppData\\Local\\Temp\\msasl_raw_ach4c5m1\\raw.%(ext)s', '--no-cache-dir', 'https://www.youtube.com/watch?v=1AyT77LqJzQ']' returned non-zero exit status 1.",,,,,,6
easter,easter,0.0,2,58,0,116,Easter,794,360.0,29.595,3.92,https://www.youtube.com/watch?v=SVWABYmFdhs,easter,"[0.0, 0.12271708250045776, 1.0, 0.8596268892288208]",640.0,,train,https://www.youtube.com/watch?v=SVWABYmFdhs,SVWABYmFdhs,SVWABYmFdhs,MS-ASL/videos_MS_ASL_raw/msasl_raw_SVWABYmFdhs.mp4,True,already_exists,0,,29.595,118.0,640.0,360.0,3.987159993242102,7
Boring ,boring,0.0,13,-1,0,71,ASL Boring ,46,360.0,25.0,2.84,https://www.youtube.com/watch?v=CYx7qm62Zwo,bored,"[0.056927233934402466, 0.26684892177581787, 0.9996088743209839, 0.6117504239082336]",640.0,,train,https://www.youtube.com/watch?v=CYx7qm62Zwo,CYx7qm62Zwo,CYx7qm62Zwo,MS-ASL/videos_MS_ASL_raw/msasl_raw_CYx7qm62Zwo.mp4,True,already_exists,0,,25.0,72.0,640.0,360.0,2.88,8
PAST,past,0.0,191,13,0,32,PAST,510,720.0,29.97,1.068,https://www.youtube.com/watch?v=cJOyCgIKyeA,past,"[0.06102180480957031, 0.2915322780609131, 0.9981908798217773, 0.7298327684402466]",1280.0,,train,https://www.youtube.com/watch?v=cJOyCgIKyeA,cJOyCgIKyeA,cJOyCgIKyeA,,False,failed,1,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\kacpe\\AppData\\Local\\Temp\\msasl_raw_on_7lxu4\\raw.%(ext)s', '--no-cache-dir', 'https://www.youtube.com/watch?v=cJOyCgIKyeA']' returned non-zero exit status 1.",,,,,,9
