label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height
match,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_C37R_Ix8-qs.mp4,0,83,84.0,2.767,30.0,0,True,640.0,360.0
fail,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_PIsUJl8BN_I.mp4,0,74,75.0,2.96,25.0,0,True,480.0,360.0
laugh,msasl,,0,31,32.0,1.034,29.97,4,False,640.0,360.0
book,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_J7tP98oDxqE.mp4,0,66,67.0,2.64,25.0,0,True,480.0,360.0
sign language,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_N2mG9ZKjrGA.mp4,0,75,76.0,2.502,29.97,0,True,640.0,360.0
school,msasl,,33,110,78.0,2.569,29.97,1,False,640.0,360.0
school,msasl,,140,206,67.0,2.2029999999999994,29.97,1,False,640.0,360.0
easter,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_SVWABYmFdhs.mp4,0,116,117.0,3.92,29.595,2,True,640.0,360.0
boring,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_CYx7qm62Zwo.mp4,0,71,72.0,2.84,25.0,13,True,640.0,360.0
past,msasl,,0,32,33.0,1.068,29.97,191,False,1280.0,720.0
phone,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,0,56,57.0,1.889,29.651,2,True,640.0,360.0
phone,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,73,123,51.0,1.6859999999999995,29.651,2,True,640.0,360.0
phone,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,148,196,49.0,1.6190000000000009,29.651,2,True,640.0,360.0
library,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_S2cqitZ0qes.mp4,0,73,74.0,2.92,25.0,0,True,480.0,360.0
germany,msasl,,0,36,37.0,1.201,29.97,4,False,640.0,360.0
like,msasl,,0,52,53.0,1.735,29.97,269,False,640.0,360.0
cochlear implant,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_I_QDeKcyvns.mp4,0,112,113.0,3.737,29.97,0,True,1280.0,720.0
rainbow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,54,165,112.0,3.7079999999999993,29.934,144,True,480.0,360.0
rainbow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,174,269,96.0,3.173000000000001,29.934,144,True,480.0,360.0
rainbow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,280,435,156.0,5.178000000000001,29.934,144,True,480.0,360.0
letter,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_sKbKzPIaFNA.mp4,0,73,74.0,2.92,25.0,0,True,480.0,360.0
from,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_fQ58eciJmCY.mp4,0,68,69.0,2.267,30.0,0,True,320.0,240.0
his,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_GYWm0gdybFA.mp4,0,108,109.0,3.6,30.0,62,True,640.0,360.0
hong kong,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_PIfDfi4Qx60.mp4,0,72,73.0,2.402,29.97,0,True,640.0,360.0
every morning,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_fv1nQoXRlsI.mp4,0,48,49.0,1.92,25.0,0,True,480.0,360.0
france,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_iJuIO4n0-VU.mp4,0,108,109.0,3.64,29.669,2,True,640.0,360.0
give,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_7G6B6kaMjb4.mp4,0,49,50.0,1.96,25.0,0,True,480.0,360.0
shock,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_XCiFsGrb_Nk.mp4,0,75,76.0,2.502,29.98,0,True,640.0,360.0
puerto rico,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_NNZD9RAgL4w.mp4,0,86,87.0,2.87,29.97,0,True,640.0,360.0
portugal,msasl,,0,44,45.0,1.468,29.97,4,False,640.0,360.0
breakfast,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_bUezx9Zp16E.mp4,0,73,74.0,2.92,25.0,5,True,640.0,360.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,647,676,30.0,1.1660000000000004,24.87,6,True,640.0,358.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,676,731,56.0,2.212,24.87,6,True,640.0,358.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,790,817,28.0,1.0859999999999983,24.87,6,True,640.0,358.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,1474,1501,28.0,1.0859999999999983,24.87,6,True,640.0,358.0
afternoon,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,2115,2149,35.0,1.3670000000000044,24.87,6,True,640.0,358.0
afternoon,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,2186,2269,84.0,3.336999999999989,24.87,6,True,640.0,358.0
afternoon,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,2293,2327,35.0,1.3670000000000044,24.87,6,True,640.0,358.0
happy,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,4452,4527,76.0,3.01600000000002,24.87,6,True,640.0,358.0
sad,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,4797,4907,111.0,4.423000000000002,24.87,6,True,640.0,358.0
sad,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,4972,5010,39.0,1.5279999999999916,24.87,6,True,640.0,358.0
nervous,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,5791,5836,46.0,1.8089999999999973,24.87,6,True,640.0,358.0
nervous,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,5938,5973,36.0,1.407000000000011,24.87,6,True,640.0,358.0
upset,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,6041,6208,168.0,6.715000000000003,24.87,6,True,640.0,358.0
want,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,9594,9751,158.0,6.312000000000012,24.87,6,True,640.0,358.0
know,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,10041,10111,71.0,2.8149999999999977,24.87,6,True,640.0,358.0
know,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,10145,10175,31.0,1.2059999999999604,24.87,6,True,640.0,358.0
must,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,10780,10870,91.0,3.619000000000028,24.87,6,True,640.0,358.0
how,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,12166,12357,192.0,7.680000000000007,24.87,6,True,640.0,358.0
wow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,15226,15409,184.0,7.359000000000037,24.87,6,True,640.0,358.0
wow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,15411,15459,49.0,1.930000000000064,24.87,6,True,640.0,358.0
pass,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,17138,17161,24.0,0.9249999999999544,24.87,6,True,640.0,358.0
pass,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,17190,17304,115.0,4.583999999999946,24.87,6,True,640.0,358.0
think,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Y5q-PccHNHo.mp4,0,77,78.0,2.569,29.97,0,True,540.0,360.0
yellow,msasl,,10,60,51.0,1.6679999999999997,29.97,1,False,640.0,360.0
yellow,msasl,,90,160,71.0,2.3360000000000003,29.97,1,False,640.0,360.0
teacher,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw__HOx2QkkTsg.mp4,419,464,46.0,1.503,29.94,144,True,480.0,360.0
teacher,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw__HOx2QkkTsg.mp4,464,510,47.0,1.5359999999999996,29.94,144,True,480.0,360.0
deaf,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_IgT0jDp56ZM.mp4,0,107,108.0,3.577,29.917,38,True,480.0,270.0
university,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jrQalROeZtg.mp4,0,96,97.0,3.2,30.0,62,True,640.0,360.0
fix,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FL6MaUJmIkA.mp4,0,79,80.0,2.636,29.97,0,True,1280.0,720.0
clock,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_pAoM56DCisM.mp4,0,77,78.0,2.569,29.97,0,True,640.0,360.0
there,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_5WevUel4BPk.mp4,0,148,149.0,5.0,29.603,2,True,640.0,360.0
next week,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_I1o0fccwWSg.mp4,0,116,117.0,3.913,29.645,2,True,640.0,360.0
again,msasl,,0,117,118.0,3.9,30.003,27,False,640.0,360.0
sick,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_NBqpHJiufXU.mp4,0,78,79.0,2.603,29.97,0,True,1280.0,720.0
meat,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Bn7j1v1ksl0.mp4,0,90,91.0,3.6,25.0,0,True,480.0,360.0
important,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_V_dT923VQ70.mp4,0,75,76.0,2.502,29.98,0,True,640.0,360.0
football,msasl,,0,116,117.0,3.871,29.97,269,False,640.0,360.0
mother,msasl,,144,198,55.0,1.8020000000000005,29.97,8,False,640.0,360.0
father,msasl,,216,284,69.0,2.269000000000001,29.97,8,False,640.0,360.0
milk,msasl,,302,369,68.0,2.2349999999999994,29.97,8,False,640.0,360.0
eat,msasl,,387,452,66.0,2.1690000000000005,29.97,8,False,640.0,360.0
drink,msasl,,470,511,42.0,1.3680000000000003,29.97,8,False,640.0,360.0
hot,msasl,,529,596,68.0,2.2360000000000007,29.97,8,False,640.0,360.0
cold,msasl,,615,685,71.0,2.335000000000001,29.97,8,False,640.0,360.0
more,msasl,,703,756,54.0,1.768000000000001,29.97,8,False,640.0,360.0
help,msasl,,774,837,64.0,2.1020000000000003,29.97,8,False,640.0,360.0
clothes,msasl,,928,992,65.0,2.136000000000003,29.97,8,False,640.0,360.0
you,msasl,,1241,1301,61.0,2.001999999999996,29.97,8,False,640.0,360.0
your,msasl,,1320,1381,62.0,2.035000000000004,29.97,8,False,640.0,360.0
down,msasl,,1481,1558,78.0,2.5690000000000026,29.97,8,False,640.0,360.0
hurt,msasl,,1576,1649,74.0,2.436,29.97,8,False,640.0,360.0
again,msasl,,1667,1739,73.0,2.4029999999999987,29.97,8,False,640.0,360.0
want,msasl,,1758,1823,66.0,2.1679999999999997,29.97,8,False,640.0,360.0
like,msasl,,1841,1918,78.0,2.5690000000000026,29.97,8,False,640.0,360.0
not like,msasl,,1938,2009,72.0,2.369,29.97,8,False,640.0,360.0
mad,msasl,,2027,2097,71.0,2.3359999999999985,29.97,8,False,640.0,360.0
funny,msasl,,2204,2270,67.0,2.201999999999998,29.97,8,False,640.0,360.0
silly,msasl,,2288,2355,68.0,2.23599999999999,29.97,8,False,640.0,360.0
sad,msasl,,2374,2432,59.0,1.9359999999999928,29.97,8,False,640.0,360.0
hungry,msasl,,2453,2524,72.0,2.369,29.97,8,False,640.0,360.0
full,msasl,,2542,2605,64.0,2.102000000000004,29.97,8,False,640.0,360.0
tired,msasl,,2695,2763,69.0,2.2689999999999912,29.97,8,False,640.0,360.0
where,msasl,,2781,2849,69.0,2.2689999999999912,29.97,8,False,640.0,360.0
book,msasl,,2868,2925,58.0,1.900999999999996,29.97,8,False,640.0,360.0
dirty,msasl,,2944,2999,56.0,1.8359999999999983,29.97,8,False,640.0,360.0
play,msasl,,3017,3088,72.0,2.369,29.97,8,False,640.0,360.0
outside,msasl,,3107,3179,73.0,2.402999999999992,29.97,8,False,640.0,360.0
home,msasl,,3199,3260,62.0,2.035000000000011,29.97,8,False,640.0,360.0
sister,msasl,,3278,3333,56.0,1.8349999999999935,29.97,8,False,640.0,360.0
