label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height
match,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_C37R_Ix8-qs.mp4,0,83,84.0,2.767,30.0,0,True,640.0,360.0
fail,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_PIsUJl8BN_I.mp4,0,74,75.0,2.96,25.0,0,True,480.0,360.0
book,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_J7tP98oDxqE.mp4,0,66,67.0,2.64,25.0,0,True,480.0,360.0
sign language,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_N2mG9ZKjrGA.mp4,0,75,76.0,2.502,29.97,0,True,640.0,360.0
easter,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_SVWABYmFdhs.mp4,0,116,117.0,3.92,29.595,2,True,640.0,360.0
boring,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_CYx7qm62Zwo.mp4,0,71,72.0,2.84,25.0,13,True,640.0,360.0
phone,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,0,56,57.0,1.889,29.651,2,True,640.0,360.0
phone,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,73,123,51.0,1.6859999999999995,29.651,2,True,640.0,360.0
phone,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,148,196,49.0,1.6190000000000009,29.651,2,True,640.0,360.0
library,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_S2cqitZ0qes.mp4,0,73,74.0,2.92,25.0,0,True,480.0,360.0
cochlear implant,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_I_QDeKcyvns.mp4,0,112,113.0,3.737,29.97,0,True,1280.0,720.0
rainbow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,54,165,112.0,3.7079999999999993,29.934,144,True,480.0,360.0
rainbow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,174,269,96.0,3.173000000000001,29.934,144,True,480.0,360.0
rainbow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,280,435,156.0,5.178000000000001,29.934,144,True,480.0,360.0
letter,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_sKbKzPIaFNA.mp4,0,73,74.0,2.92,25.0,0,True,480.0,360.0
from,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_fQ58eciJmCY.mp4,0,68,69.0,2.267,30.0,0,True,320.0,240.0
his,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_GYWm0gdybFA.mp4,0,108,109.0,3.6,30.0,62,True,640.0,360.0
hong kong,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_PIfDfi4Qx60.mp4,0,72,73.0,2.402,29.97,0,True,640.0,360.0
every morning,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_fv1nQoXRlsI.mp4,0,48,49.0,1.92,25.0,0,True,480.0,360.0
france,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_iJuIO4n0-VU.mp4,0,108,109.0,3.64,29.669,2,True,640.0,360.0
give,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_7G6B6kaMjb4.mp4,0,49,50.0,1.96,25.0,0,True,480.0,360.0
shock,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_XCiFsGrb_Nk.mp4,0,75,76.0,2.502,29.98,0,True,640.0,360.0
puerto rico,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_NNZD9RAgL4w.mp4,0,86,87.0,2.87,29.97,0,True,640.0,360.0
breakfast,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_bUezx9Zp16E.mp4,0,73,74.0,2.92,25.0,5,True,640.0,360.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,647,676,30.0,1.1660000000000004,24.87,6,True,640.0,358.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,676,731,56.0,2.212,24.87,6,True,640.0,358.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,790,817,28.0,1.0859999999999983,24.87,6,True,640.0,358.0
day,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,1474,1501,28.0,1.0859999999999983,24.87,6,True,640.0,358.0
afternoon,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,2115,2149,35.0,1.3670000000000044,24.87,6,True,640.0,358.0
afternoon,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,2186,2269,84.0,3.336999999999989,24.87,6,True,640.0,358.0
afternoon,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,2293,2327,35.0,1.3670000000000044,24.87,6,True,640.0,358.0
happy,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,4452,4527,76.0,3.01600000000002,24.87,6,True,640.0,358.0
sad,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,4797,4907,111.0,4.423000000000002,24.87,6,True,640.0,358.0
sad,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,4972,5010,39.0,1.5279999999999916,24.87,6,True,640.0,358.0
nervous,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,5791,5836,46.0,1.8089999999999973,24.87,6,True,640.0,358.0
nervous,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,5938,5973,36.0,1.407000000000011,24.87,6,True,640.0,358.0
upset,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,6041,6208,168.0,6.715000000000003,24.87,6,True,640.0,358.0
want,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,9594,9751,158.0,6.312000000000012,24.87,6,True,640.0,358.0
know,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,10041,10111,71.0,2.8149999999999977,24.87,6,True,640.0,358.0
know,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,10145,10175,31.0,1.2059999999999604,24.87,6,True,640.0,358.0
must,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,10780,10870,91.0,3.619000000000028,24.87,6,True,640.0,358.0
how,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,12166,12357,192.0,7.680000000000007,24.87,6,True,640.0,358.0
wow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,15226,15409,184.0,7.359000000000037,24.87,6,True,640.0,358.0
wow,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,15411,15459,49.0,1.930000000000064,24.87,6,True,640.0,358.0
pass,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,17138,17161,24.0,0.9249999999999544,24.87,6,True,640.0,358.0
pass,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,17190,17304,115.0,4.583999999999946,24.87,6,True,640.0,358.0
think,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Y5q-PccHNHo.mp4,0,77,78.0,2.569,29.97,0,True,540.0,360.0
teacher,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw__HOx2QkkTsg.mp4,419,464,46.0,1.503,29.94,144,True,480.0,360.0
teacher,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw__HOx2QkkTsg.mp4,464,510,47.0,1.5359999999999996,29.94,144,True,480.0,360.0
deaf,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_IgT0jDp56ZM.mp4,0,107,108.0,3.577,29.917,38,True,480.0,270.0
university,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jrQalROeZtg.mp4,0,96,97.0,3.2,30.0,62,True,640.0,360.0
fix,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FL6MaUJmIkA.mp4,0,79,80.0,2.636,29.97,0,True,1280.0,720.0
clock,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_pAoM56DCisM.mp4,0,77,78.0,2.569,29.97,0,True,640.0,360.0
there,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_5WevUel4BPk.mp4,0,148,149.0,5.0,29.603,2,True,640.0,360.0
next week,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_I1o0fccwWSg.mp4,0,116,117.0,3.913,29.645,2,True,640.0,360.0
sick,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_NBqpHJiufXU.mp4,0,78,79.0,2.603,29.97,0,True,1280.0,720.0
meat,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Bn7j1v1ksl0.mp4,0,90,91.0,3.6,25.0,0,True,480.0,360.0
important,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_V_dT923VQ70.mp4,0,75,76.0,2.502,29.98,0,True,640.0,360.0
warm,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_3vH-22ZBt7w.mp4,195,316,122.0,4.038,29.97,144,True,480.0,360.0
warm,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_3vH-22ZBt7w.mp4,393,451,59.0,1.9350000000000005,29.97,144,True,480.0,360.0
stand,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_o1XWGA4KCNU.mp4,0,53,54.0,1.768,29.97,173,True,636.0,360.0
wait,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Sy1FdTFzul8.mp4,0,79,80.0,3.16,25.0,0,True,480.0,360.0
business,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_oQGNnu24SEE.mp4,0,56,57.0,1.868,29.974,0,True,640.0,360.0
fire,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_pWO_1CT3QWk.mp4,0,55,56.0,1.835,29.97,0,True,1280.0,720.0
home,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_B_H3Xg4XiB8.mp4,0,83,84.0,2.767,30.0,112,True,640.0,360.0
any,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Dbq2emMTZE0.mp4,0,80,81.0,2.669,29.97,0,True,540.0,360.0
win,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Yqom91cTkZE.mp4,0,65,66.0,2.6,25.0,0,True,1280.0,720.0
socks,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_oOJKizLq4jQ.mp4,70,190,121.0,4.009,29.933,144,True,480.0,360.0
socks,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_oOJKizLq4jQ.mp4,190,320,131.0,4.343000000000001,29.933,144,True,480.0,360.0
gone,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_LA36HscT8Bo.mp4,0,93,94.0,3.103,29.97,0,True,640.0,360.0
rude,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_hlOPlBd6F5Q.mp4,0,65,66.0,2.169,29.97,0,True,1280.0,720.0
bake,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Q0vD9t1u5bI.mp4,0,69,70.0,2.302,29.97,0,True,640.0,360.0
wine,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_d809az7DnpU.mp4,0,85,86.0,3.4,25.0,152,True,500.0,284.0
norway,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FtAToIc1rAA.mp4,0,81,82.0,2.703,29.97,0,True,640.0,360.0
hearing,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_djZwwts-OiA.mp4,0,107,108.0,3.577,29.917,38,True,480.0,270.0
ball,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_e8pEvhbngbc.mp4,0,79,80.0,2.636,29.97,0,True,640.0,360.0
25,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_atnHjWFYzds.mp4,0,72,73.0,2.88,25.0,0,True,480.0,360.0
in,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_YirRi12-zWo.mp4,0,102,103.0,3.403,29.97,0,True,1280.0,720.0
fish,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jsF87QSfxpg.mp4,20,80,61.0,2.069,29.0,435,True,640.0,360.0
stand,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_KhhowNO7Ywk.mp4,0,72,73.0,2.402,29.97,0,True,640.0,360.0
