label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height
laugh,msasl,,0,31,32.0,1.034,29.97,4,False,640.0,360.0
school,msasl,,33,110,78.0,2.569,29.97,1,False,640.0,360.0
school,msasl,,140,206,67.0,2.2029999999999994,29.97,1,False,640.0,360.0
past,msasl,,0,32,33.0,1.068,29.97,191,False,1280.0,720.0
germany,msasl,,0,36,37.0,1.201,29.97,4,False,640.0,360.0
like,msasl,,0,52,53.0,1.735,29.97,269,False,640.0,360.0
portugal,msasl,,0,44,45.0,1.468,29.97,4,False,640.0,360.0
yellow,msasl,,10,60,51.0,1.6679999999999997,29.97,1,False,640.0,360.0
yellow,msasl,,90,160,71.0,2.3360000000000003,29.97,1,False,640.0,360.0
again,msasl,,0,117,118.0,3.9,30.003,27,False,640.0,360.0
football,msasl,,0,116,117.0,3.871,29.97,269,False,640.0,360.0
mother,msasl,,144,198,55.0,1.8020000000000005,29.97,8,False,640.0,360.0
father,msasl,,216,284,69.0,2.269000000000001,29.97,8,False,640.0,360.0
milk,msasl,,302,369,68.0,2.2349999999999994,29.97,8,False,640.0,360.0
eat,msasl,,387,452,66.0,2.1690000000000005,29.97,8,False,640.0,360.0
drink,msasl,,470,511,42.0,1.3680000000000003,29.97,8,False,640.0,360.0
hot,msasl,,529,596,68.0,2.2360000000000007,29.97,8,False,640.0,360.0
cold,msasl,,615,685,71.0,2.335000000000001,29.97,8,False,640.0,360.0
more,msasl,,703,756,54.0,1.768000000000001,29.97,8,False,640.0,360.0
help,msasl,,774,837,64.0,2.1020000000000003,29.97,8,False,640.0,360.0
clothes,msasl,,928,992,65.0,2.136000000000003,29.97,8,False,640.0,360.0
you,msasl,,1241,1301,61.0,2.001999999999996,29.97,8,False,640.0,360.0
your,msasl,,1320,1381,62.0,2.035000000000004,29.97,8,False,640.0,360.0
down,msasl,,1481,1558,78.0,2.5690000000000026,29.97,8,False,640.0,360.0
hurt,msasl,,1576,1649,74.0,2.436,29.97,8,False,640.0,360.0
again,msasl,,1667,1739,73.0,2.4029999999999987,29.97,8,False,640.0,360.0
want,msasl,,1758,1823,66.0,2.1679999999999997,29.97,8,False,640.0,360.0
like,msasl,,1841,1918,78.0,2.5690000000000026,29.97,8,False,640.0,360.0
not like,msasl,,1938,2009,72.0,2.369,29.97,8,False,640.0,360.0
mad,msasl,,2027,2097,71.0,2.3359999999999985,29.97,8,False,640.0,360.0
funny,msasl,,2204,2270,67.0,2.201999999999998,29.97,8,False,640.0,360.0
silly,msasl,,2288,2355,68.0,2.23599999999999,29.97,8,False,640.0,360.0
sad,msasl,,2374,2432,59.0,1.9359999999999928,29.97,8,False,640.0,360.0
hungry,msasl,,2453,2524,72.0,2.369,29.97,8,False,640.0,360.0
full,msasl,,2542,2605,64.0,2.102000000000004,29.97,8,False,640.0,360.0
tired,msasl,,2695,2763,69.0,2.2689999999999912,29.97,8,False,640.0,360.0
where,msasl,,2781,2849,69.0,2.2689999999999912,29.97,8,False,640.0,360.0
book,msasl,,2868,2925,58.0,1.900999999999996,29.97,8,False,640.0,360.0
dirty,msasl,,2944,2999,56.0,1.8359999999999983,29.97,8,False,640.0,360.0
play,msasl,,3017,3088,72.0,2.369,29.97,8,False,640.0,360.0
outside,msasl,,3107,3179,73.0,2.402999999999992,29.97,8,False,640.0,360.0
home,msasl,,3199,3260,62.0,2.035000000000011,29.97,8,False,640.0,360.0
sister,msasl,,3278,3333,56.0,1.8349999999999935,29.97,8,False,640.0,360.0
brother,msasl,,3351,3417,67.0,2.201999999999998,29.97,8,False,640.0,360.0
grandmother,msasl,,3436,3492,57.0,1.8680000000000088,29.97,8,False,640.0,360.0
grandfather,msasl,,3510,3580,71.0,2.3359999999999985,29.97,8,False,640.0,360.0
aunt,msasl,,3600,3664,65.0,2.134999999999991,29.97,8,False,640.0,360.0
uncle,msasl,,3682,3760,79.0,2.6030000000000086,29.97,8,False,640.0,360.0
cousin,msasl,,3778,3845,68.0,2.23599999999999,29.97,8,False,640.0,360.0
i love you,msasl,,0,117,118.0,3.904,29.97,27,False,640.0,360.0
blue,msasl,,0,89,90.0,2.97,29.97,1,False,640.0,360.0
can,msasl,,0,79,80.0,2.636,29.97,52,False,640.0,360.0
throw,msasl,,0,26,27.0,0.868,29.97,4,False,640.0,360.0
help,msasl,,0,102,103.0,3.4,30.003,27,False,640.0,360.0
spain,msasl,,0,33,34.0,1.101,29.97,4,False,640.0,360.0
elementary school,msasl,,696,832,137.0,4.538,29.97,328,False,640.0,360.0
center school,msasl,,860,1003,144.0,4.771999999999999,29.97,328,False,640.0,360.0
high school,msasl,,1025,1113,89.0,2.936,29.97,328,False,640.0,360.0
gallaudet,msasl,,2884,2965,82.0,2.703000000000003,29.97,328,False,640.0,360.0
english,msasl,,6039,6100,62.0,2.0360000000000014,29.97,328,False,640.0,360.0
spanish,msasl,,6123,6244,122.0,4.037000000000006,29.97,328,False,640.0,360.0
france,msasl,,6468,6538,71.0,2.335000000000008,29.97,328,False,640.0,360.0
sign language,msasl,,6561,6651,91.0,3.002999999999986,29.97,328,False,640.0,360.0
not,msasl,,7576,7627,52.0,1.7019999999999982,29.97,328,False,640.0,360.0
oh i see,msasl,,7795,7872,78.0,2.56899999999996,29.97,328,False,640.0,360.0
remember,msasl,,7895,7947,53.0,1.7350000000000136,29.97,328,False,640.0,360.0
forget,msasl,,7969,8035,67.0,2.201999999999998,29.97,328,False,640.0,360.0
cereal,msasl,,0,126,127.0,4.2,30.0,27,False,640.0,360.0
white,msasl,,0,83,84.0,2.769,29.97,134,False,640.0,360.0
