,precision,recall,f1-score,support
again,1.0,1.0,1.0,43.0
bird,0.98,1.0,0.98989898989899,49.0
but,1.0,0.975,0.9873417721518988,40.0
cousin,1.0,1.0,1.0,46.0
deaf,1.0,1.0,1.0,42.0
doctor,1.0,1.0,1.0,42.0
eat,1.0,0.9830508474576272,0.9914529914529915,59.0
father,1.0,1.0,1.0,45.0
finish,1.0,1.0,1.0,46.0
fish,1.0,1.0,1.0,38.0
happy,1.0,1.0,1.0,41.0
help,1.0,1.0,1.0,45.0
learn,1.0,1.0,1.0,41.0
like,1.0,1.0,1.0,41.0
man,1.0,1.0,1.0,39.0
mother,1.0,1.0,1.0,49.0
need,1.0,1.0,1.0,47.0
nice,1.0,1.0,1.0,48.0
no,1.0,1.0,1.0,43.0
orange,1.0,1.0,1.0,46.0
school,1.0,1.0,1.0,44.0
sit,1.0,1.0,1.0,41.0
spring,1.0,1.0,1.0,47.0
student,1.0,1.0,1.0,41.0
table,1.0,1.0,1.0,44.0
teacher,1.0,1.0,1.0,49.0
tired,1.0,1.0,1.0,37.0
water,1.0,1.0,1.0,41.0
what,1.0,1.0,1.0,41.0
yes,0.9767441860465116,1.0,0.9882352941176471,42.0
accuracy,0.9984813971146546,0.9984813971146546,0.9984813971146546,0.9984813971146546
macro avg,0.9985581395348838,0.9986016949152543,0.9985643015873842,1317.0
weighted avg,0.9985142413165934,0.9984813971146546,0.9984816478662067,1317.0
