label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height
book,aslbrick,kaggle_dataset/videos/69241.mp4,1,75.0,75.0,2.502,29.97002997002997,118,True,1280.0,720.0
book,aslsignbank,kaggle_dataset/videos/65225.mp4,1,,,,25.0,90,False,,
book,valencia-asl,kaggle_dataset/videos/68011.mp4,1,,,,25.0,110,False,,
book,lillybauer,kaggle_dataset/videos/68208.mp4,1,60.0,60.0,2.4,25.0,113,False,,
book,valencia-asl,kaggle_dataset/videos/68012.mp4,1,,,,25.0,109,False,,
book,northtexas,kaggle_dataset/videos/70212.mp4,2150,2249.0,100.0,4.0,25.0,121,False,,
book,northtexas,kaggle_dataset/videos/70266.mp4,3732,3852.0,121.0,4.84,25.0,121,False,,
book,aslpro,kaggle_dataset/videos/07085.mp4,1,,,,25.0,49,False,,
book,aslpro,kaggle_dataset/videos/07086.mp4,1,,,,25.0,49,False,,
book,aslpro,kaggle_dataset/videos/07087.mp4,1,,,,25.0,18,False,,
book,signschool,kaggle_dataset/videos/07069.mp4,1,30.0,30.0,1.251,23.976023976023978,31,True,1280.0,720.0
book,aslpro,kaggle_dataset/videos/07088.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07089.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07090.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07091.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07092.mp4,1,,,,25.0,49,False,,
book,aslpro,kaggle_dataset/videos/07093.mp4,1,,,,25.0,18,False,,
book,startasl,kaggle_dataset/videos/07068.mp4,1,68.0,68.0,2.269,29.97,36,True,736.0,414.0
book,aslpro,kaggle_dataset/videos/07094.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07095.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07096.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07097.mp4,1,,,,25.0,49,False,,
book,asldeafined,kaggle_dataset/videos/07070.mp4,1,86.0,86.0,2.866,30.003488777764858,59,True,640.0,480.0
book,aslpro,kaggle_dataset/videos/07098.mp4,1,,,,25.0,18,False,,
book,aslsearch,kaggle_dataset/videos/07099.mp4,1,87.0,87.0,2.87,30.318840916754844,12,True,720.0,400.0
book,handspeak,kaggle_dataset/videos/07071.mp4,1,,,,25.0,14,False,,
book,handspeak,kaggle_dataset/videos/07072.mp4,1,,,,25.0,14,False,,
book,handspeak,kaggle_dataset/videos/07073.mp4,1,,,,25.0,14,False,,
book,asllex,kaggle_dataset/videos/67424.mp4,1,,,,25.0,109,False,,
book,signingsavvy,kaggle_dataset/videos/07074.mp4,1,41.0,41.0,1.368,29.97,11,True,288.0,192.0
book,aslu,kaggle_dataset/videos/07075.mp4,1,,,,25.0,5,False,,
book,aslu,kaggle_dataset/videos/07076.mp4,1,,,,25.0,5,False,,
book,aslpro,kaggle_dataset/videos/07077.mp4,1,,,,25.0,49,False,,
book,aslpro,kaggle_dataset/videos/07078.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07079.mp4,1,,,,25.0,49,False,,
book,aslpro,kaggle_dataset/videos/07080.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07081.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07082.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07083.mp4,1,,,,25.0,18,False,,
book,aslpro,kaggle_dataset/videos/07084.mp4,1,,,,25.0,18,False,,
drink,aslbrick,kaggle_dataset/videos/69302.mp4,1,77.0,77.0,2.569,29.97002997002997,115,True,1920.0,1080.0
drink,aslsignbank,kaggle_dataset/videos/65539.mp4,1,44.0,44.0,1.835,23.97616914097503,94,True,656.0,370.0
drink,northtexas,kaggle_dataset/videos/70173.mp4,5710,5831.0,122.0,4.88,25.0,121,False,,
drink,lillybauer,kaggle_dataset/videos/68538.mp4,1,71.0,71.0,2.84,25.0,113,False,,
drink,valencia-asl,kaggle_dataset/videos/68042.mp4,1,,,,25.0,109,False,,
drink,lillybauer,kaggle_dataset/videos/68660.mp4,1,54.0,54.0,2.16,25.0,115,False,,
drink,valencia-asl,kaggle_dataset/videos/68041.mp4,1,,,,25.0,109,False,,
drink,aslu,kaggle_dataset/videos/17725.mp4,1,,,,25.0,5,False,,
drink,aslu,kaggle_dataset/videos/17726.mp4,1,,,,25.0,5,False,,
drink,nabboud,kaggle_dataset/videos/17727.mp4,1,,,,25.0,65,False,,
drink,aslu,kaggle_dataset/videos/17728.mp4,1,,,,25.0,5,False,,
drink,startasl,kaggle_dataset/videos/17710.mp4,1,70.0,70.0,2.336,29.97,36,True,736.0,414.0
drink,aslu,kaggle_dataset/videos/17729.mp4,1,,,,25.0,5,False,,
drink,aslu,kaggle_dataset/videos/17730.mp4,1,,,,25.0,5,False,,
drink,aslu,kaggle_dataset/videos/17731.mp4,1,,,,25.0,5,False,,
drink,aslpro,kaggle_dataset/videos/17732.mp4,1,,,,25.0,44,False,,
drink,aslsearch,kaggle_dataset/videos/17733.mp4,1,93.0,93.0,3.07,30.296090174893205,12,True,720.0,400.0
drink,aslsignbank,kaggle_dataset/videos/65540.mp4,1,46.0,46.0,1.919,23.976093402520384,94,True,656.0,370.0
drink,aslsearch,kaggle_dataset/videos/17734.mp4,1,89.0,89.0,2.936,30.31091262400709,12,True,720.0,400.0
drink,signschool,kaggle_dataset/videos/17711.mp4,1,81.0,81.0,2.703,29.97002997002997,52,True,854.0,480.0
drink,signschool,kaggle_dataset/videos/17712.mp4,1,43.0,43.0,1.793,23.976061111076692,6,True,1920.0,1080.0
drink,asldeafined,kaggle_dataset/videos/17713.mp4,1,91.0,91.0,3.033,30.0,21,True,640.0,480.0
drink,handspeak,kaggle_dataset/videos/17714.mp4,1,,,,25.0,20,False,,
drink,handspeak,kaggle_dataset/videos/17715.mp4,1,,,,25.0,14,False,,
drink,handspeak,kaggle_dataset/videos/17716.mp4,1,,,,25.0,20,False,,
drink,handspeak,kaggle_dataset/videos/17717.mp4,1,,,,25.0,14,False,,
drink,handspeak,kaggle_dataset/videos/17718.mp4,1,,,,25.0,20,False,,
drink,spreadthesign,kaggle_dataset/videos/17709.mp4,1,105.0,105.0,4.2,25.0,2,True,320.0,240.0
drink,asllex,kaggle_dataset/videos/67594.mp4,1,,,,25.0,109,False,,
drink,handspeak,kaggle_dataset/videos/17719.mp4,1,,,,25.0,14,False,,
drink,signingsavvy,kaggle_dataset/videos/17720.mp4,1,41.0,41.0,1.368,29.97,11,True,288.0,192.0
drink,signingsavvy,kaggle_dataset/videos/17721.mp4,1,49.0,49.0,1.635,29.97,10,True,288.0,192.0
drink,signingsavvy,kaggle_dataset/videos/17722.mp4,1,49.0,49.0,1.635,29.97,10,True,288.0,192.0
drink,signingsavvy,kaggle_dataset/videos/17723.mp4,1,60.0,60.0,2.002,29.97,10,True,288.0,192.0
drink,signingsavvy,kaggle_dataset/videos/17724.mp4,1,30.0,30.0,1.001,29.97,11,True,288.0,192.0
computer,asl5200,kaggle_dataset/videos/12306.mp4,5122,5181.0,60.0,2.4,25.0,9,False,,
computer,valencia-asl,kaggle_dataset/videos/68028.mp4,1,,,,25.0,109,False,,
computer,lillybauer,kaggle_dataset/videos/69054.mp4,1,72.0,72.0,2.88,25.0,113,False,,
computer,signingsavvy,kaggle_dataset/videos/12328.mp4,1,88.0,88.0,2.936,29.97,11,True,288.0,192.0
computer,aslu,kaggle_dataset/videos/12329.mp4,1,,,,25.0,5,False,,
computer,aslu,kaggle_dataset/videos/12330.mp4,1,,,,25.0,5,False,,
computer,startasl,kaggle_dataset/videos/12312.mp4,1,101.0,101.0,3.37,29.97002997002997,38,True,1280.0,720.0
computer,aslu,kaggle_dataset/videos/12331.mp4,1,,,,25.0,5,False,,
computer,nabboud,kaggle_dataset/videos/12332.mp4,1,,,,25.0,65,False,,
computer,aslu,kaggle_dataset/videos/12333.mp4,1,,,,25.0,5,False,,
computer,aslu,kaggle_dataset/videos/12335.mp4,1,,,,25.0,5,False,,
computer,nabboud,kaggle_dataset/videos/12336.mp4,1,,,,25.0,65,False,,
computer,spreadthesign,kaggle_dataset/videos/12311.mp4,1,72.0,72.0,2.402,29.97,56,True,320.0,240.0
computer,aslpro,kaggle_dataset/videos/12337.mp4,1,,,,25.0,72,False,,
computer,aslsearch,kaggle_dataset/videos/12338.mp4,1,107.0,107.0,3.537,30.2530212549175,41,True,720.0,400.0
computer,startasl,kaggle_dataset/videos/12313.mp4,1,81.0,81.0,2.703,29.97002997002997,38,True,1280.0,720.0
computer,signschool,kaggle_dataset/videos/12314.mp4,1,43.0,43.0,1.435,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,kaggle_dataset/videos/12315.mp4,1,57.0,57.0,1.902,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,kaggle_dataset/videos/12316.mp4,1,43.0,43.0,1.435,29.97002997002997,4,True,1920.0,1080.0
computer,signschool,kaggle_dataset/videos/12317.mp4,1,53.0,53.0,1.768,29.97002997002997,4,True,1920.0,1080.0
