label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height,invalid_duration,invalid_fps,invalid_length_frames,duration_from_frames,consistency_error_sec,is_consistency_outlier,extreme_low_thr,extreme_high_thr,is_extreme_duration,is_anomaly,removal_reason,process_status,process_error,frames_path,frames_count,frame_file_ext,normalized_width,normalized_height,normalized_color_mode,clip_start_frame_src,clip_end_frame_src,clip_start_frame_0based,clip_end_frame_0based,input_fps,split
fish,signingsavvy,kaggle_dataset/videos/22121.mp4,1,52.0,52.0,1.735,29.97,wlasl_11,True,288.0,192.0,False,False,False,1.7350684017350684,6.840173506827973e-05,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/fish/22121__s000000__e000051__1f5248787e53,50,jpg,224,224,grayscale,1,52,0,51,29.97,train
doctor,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_eeHS78JyN70.mp4,16321,16401.0,81.0,2.669999999999959,29.97,msasl_80,True,640.0,360.0,False,False,False,2.702702702702702,0.0327027027027435,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/doctor/msasl_raw_eeHS78JyN70__s016320__e016400__973bcc4fbd69,81,jpg,224,224,grayscale,16321,16401,16320,16400,29.97002997002997,train
learn,signschool,kaggle_dataset/videos/32606.mp4,1,46.0,46.0,1.919,23.976093402520384,wlasl_31,True,1920.0,1080.0,False,False,False,1.918577777777778,0.0004222222222221,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/learn/32606__s000000__e000045__25f3e4cbe4bc,46,jpg,224,224,grayscale,1,46,0,45,23.976093402520384,train
cousin,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_-_0i3qAEM1E.mp4,90,162.0,73.0,2.4000000000000004,30.0,msasl_62,True,640.0,360.0,False,False,False,2.433333333333333,0.0333333333333327,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/cousin/msasl_raw_-_0i3qAEM1E__s000089__e000161__0818503d5e61,73,jpg,224,224,grayscale,90,162,89,161,30.0,train
table,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_pc0-gVEETVg.mp4,5807,5923.0,117.0,3.871000000000009,29.97,msasl_72,True,626.0,360.0,False,False,False,3.903903903903904,0.0329039039038949,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/table/msasl_raw_pc0-gVEETVg__s005806__e005922__f7b5d06840ec,117,jpg,224,224,grayscale,5807,5923,5806,5922,29.97002997002997,train
help,signingsavvy,kaggle_dataset/videos/01626.mp4,1,50.0,50.0,1.668,29.97,wlasl_10,True,288.0,192.0,False,False,False,1.6683350016683351,0.0003350016683352,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/help/01626__s000000__e000049__331f909b6869,49,jpg,224,224,grayscale,1,50,0,49,29.97,train
bird,asldeafined,kaggle_dataset/videos/06335.mp4,1,111.0,111.0,3.7,29.99729754076209,wlasl_59,True,640.0,480.0,False,False,False,3.7003333333333335,0.0003333333333332,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/bird/06335__s000000__e000110__f4633cf10508,111,jpg,224,224,grayscale,1,111,0,110,29.99729754076209,train
water,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_3RB642y8sgo.mp4,4625,4821.0,197.0,6.562000000000012,29.868,msasl_230,True,320.0,240.0,False,False,False,6.595687692513727,0.0336876925137152,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/water/msasl_raw_3RB642y8sgo__s004624__e004820__3727a4d4ed13,197,jpg,224,224,grayscale,4625,4821,4624,4820,30.0,train
mother,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_ckNZidesfIA.mp4,300,434.0,135.0,4.471,29.97,msasl_286,True,640.0,360.0,False,False,False,4.504504504504505,0.0335045045045045,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/mother/msasl_raw_ckNZidesfIA__s000299__e000433__1abbebb74e1d,135,jpg,224,224,grayscale,300,434,299,433,29.97002997002997,train
deaf,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_-LB4ENHxcIs.mp4,2255,2321.0,67.0,2.201999999999998,29.97,msasl_233,True,640.0,360.0,False,False,False,2.235568902235569,0.0335689022355709,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/deaf/msasl_raw_-LB4ENHxcIs__s002254__e002320__7be8dc0a50ed,67,jpg,224,224,grayscale,2255,2321,2254,2320,29.97002997002997,train
school,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_GLBRC1sVygY.mp4,1985,2092.0,108.0,4.280000000000001,25.0,msasl_94,True,1280.0,720.0,False,False,False,4.32,0.0399999999999991,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/school/msasl_raw_GLBRC1sVygY__s001984__e002091__cb305f11cf28,108,jpg,224,224,grayscale,1985,2092,1984,2091,25.0,train
finish,spreadthesign,kaggle_dataset/videos/21941.mp4,1,56.0,56.0,2.24,25.0,wlasl_37,True,320.0,240.0,False,False,False,2.24,0.0,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/finish/21941__s000000__e000055__abc240670b0f,56,jpg,224,224,grayscale,1,56,0,55,25.0,train
eat,aslsignbank,kaggle_dataset/videos/65601.mp4,1,61.0,61.0,2.544,23.976102507664493,wlasl_90,True,656.0,370.0,False,False,False,2.5442,0.0001999999999999,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/eat/65601__s000000__e000060__47fd8acf5767,61,jpg,224,224,grayscale,1,61,0,60,23.976102507664493,train
teacher,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_R_ES8RZua1g.mp4,2308,2406.0,99.0,3.266999999999996,30.0,msasl_40,True,568.0,320.0,False,False,False,3.3,0.0330000000000039,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/teacher/msasl_raw_R_ES8RZua1g__s002307__e002405__49a82ee3777b,99,jpg,224,224,grayscale,2308,2406,2307,2405,30.0,train
school,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_rkQZQhloXuE.mp4,2029,2089.0,61.0,2.002000000000009,29.97,msasl_370,True,640.0,360.0,False,False,False,2.035368702035369,0.0333687020353594,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/school/msasl_raw_rkQZQhloXuE__s002028__e002088__7eaa86df44d5,61,jpg,224,224,grayscale,2029,2089,2028,2088,29.97002997002997,train
bird,aslbrick,kaggle_dataset/videos/69233.mp4,1,84.0,84.0,2.803,29.97002997002997,wlasl_115,True,1920.0,1080.0,False,False,False,2.8028,0.0001999999999999,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/bird/69233__s000000__e000083__12f91370c6a5,84,jpg,224,224,grayscale,1,84,0,83,29.97002997002997,train
finish,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_L1ocXM_uzLA.mp4,140,270.0,131.0,4.338,29.97,msasl_144,True,480.0,360.0,False,False,False,4.371037704371038,0.0330377043710381,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/finish/msasl_raw_L1ocXM_uzLA__s000139__e000269__2e0da0500f70,131,jpg,224,224,grayscale,140,270,139,269,29.97002997002997,train
help,aslsignbank,kaggle_dataset/videos/65890.mp4,1,59.0,59.0,2.461,23.97605104054256,wlasl_90,True,656.0,370.0,False,False,False,2.460788888888888,0.0002111111111116,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/help/65890__s000000__e000058__66fd512a1f93,59,jpg,224,224,grayscale,1,59,0,58,23.97605104054256,train
nice,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_oVsuQbfMscM.mp4,219,281.0,63.0,2.068999999999999,29.97,msasl_124,True,640.0,360.0,False,False,False,2.1021021021021022,0.0331021021021031,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/nice/msasl_raw_oVsuQbfMscM__s000218__e000280__7d57d3d3234c,63,jpg,224,224,grayscale,219,281,218,280,29.97,train
cousin,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Tckw40A23Bc.mp4,2025,2174.0,150.0,5.959999999999994,25.0,msasl_77,True,640.0,360.0,False,False,False,6.0,0.0400000000000062,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg_from_raw/cousin/msasl_raw_Tckw40A23Bc__s002024__e002173__1ac053b73f85,150,jpg,224,224,grayscale,2025,2174,2024,2173,25.0,train
