label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height,invalid_duration,invalid_fps,invalid_length_frames,duration_from_frames,consistency_error_sec,is_consistency_outlier,extreme_low_thr,extreme_high_thr,is_extreme_duration,is_anomaly,removal_reason,process_status,process_error,frames_path,frames_count,frame_file_ext,normalized_width,normalized_height,normalized_color_mode,clip_start_frame_src,clip_end_frame_src,clip_start_frame_0based,clip_end_frame_0based,input_fps,split
learn,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_owXsDIKq4lk.mp4,1251,1311.0,61.0,2.0020000000000024,29.97,msasl_391,True,1280.0,720.0,False,False,False,2.035368702035369,0.0333687020353661,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/learn/msasl_raw_owXsDIKq4lk__s001250__e001310__8be2bad1766d,61,jpg,224,224,grayscale,1251,1311,1250,1310,29.97002997002997,train
teacher,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_UoITyyziLOw.mp4,3527,3608.0,82.0,2.703000000000003,29.97,msasl_160,True,640.0,360.0,False,False,False,2.736069402736069,0.0330694027360665,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/teacher/msasl_raw_UoITyyziLOw__s003526__e003607__9c0ca0b2316d,82,jpg,224,224,grayscale,3527,3608,3526,3607,29.970090947933837,train
like,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_rWIDL_GpaJc.mp4,13941,14110.0,170.0,5.63900000000001,29.972,msasl_274,True,1280.0,720.0,False,False,False,5.671960496463366,0.0329604964633558,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/like/msasl_raw_rWIDL_GpaJc__s013940__e014109__e73b94733a5c,170,jpg,224,224,grayscale,13941,14110,13940,14109,29.97002997002997,train
table,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_P3tBJESDamE.mp4,5944,6014.0,71.0,2.920000000000016,23.976,msasl_94,True,1280.0,720.0,False,False,False,2.9612946279612946,0.0412946279612786,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/table/msasl_raw_P3tBJESDamE__s005943__e006013__2450dd4e553f,71,jpg,224,224,grayscale,5944,6014,5943,6013,23.976023976023978,train
student,asldeafined,kaggle_dataset/videos/55341.mp4,1,75.0,75.0,2.5,29.99600053326224,wlasl_15,True,640.0,480.0,False,False,False,2.5003333333333324,0.0003333333333324,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/student/55341__s000000__e000074__62e50c682638,75,jpg,224,224,grayscale,1,75,0,74,29.996000533262237,train
cousin,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_7sZLZpm4n2E.mp4,1481,1549.0,69.0,2.269000000000005,29.97,msasl_140,True,1280.0,720.0,False,False,False,2.3023023023023024,0.0333023023022973,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/cousin/msasl_raw_7sZLZpm4n2E__s001480__e001548__4cfd8a58826d,69,jpg,224,224,grayscale,1481,1549,1480,1548,29.97002997002997,train
water,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPUrVQbnNiU.mp4,1924,1974.0,51.0,1.6730000000000018,29.891,msasl_34,True,1280.0,720.0,False,False,False,1.7061991903917568,0.033199190391755,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/water/msasl_raw_HPUrVQbnNiU__s001923__e001973__76e6c477e7a1,51,jpg,224,224,grayscale,1924,1974,1923,1973,30.0,train
mother,aslbrick,kaggle_dataset/videos/69399.mp4,1,76.0,76.0,2.536,29.97002997002997,wlasl_118,True,1280.0,720.0,False,False,False,2.5358666666666667,0.0001333333333333,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/mother/69399__s000000__e000075__00caa231d1da,76,jpg,224,224,grayscale,1,76,0,75,29.97002997002997,val
student,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_UoITyyziLOw.mp4,3610,3731.0,122.0,4.037000000000006,29.97,msasl_160,True,640.0,360.0,False,False,False,4.070737404070737,0.033737404070731,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/student/msasl_raw_UoITyyziLOw__s003609__e003730__9f952a1f2fec,122,jpg,224,224,grayscale,3610,3731,3609,3730,29.970090947933837,train
need,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_5sILDEiOcQ0.mp4,4246,4322.0,77.0,3.166000000000025,24.004,msasl_125,True,1280.0,720.0,False,False,False,3.2077987002166304,0.0417987002166055,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/need/msasl_raw_5sILDEiOcQ0__s004245__e004321__e48e5f0b66ba,77,jpg,224,224,grayscale,4246,4322,4245,4321,24.0,test
fish,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_IJyUcYJMpmU.mp4,0,87.0,88.0,2.903,29.97,msasl_0,True,640.0,360.0,False,False,False,2.9362696029362696,0.0332696029362695,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/fish/msasl_raw_IJyUcYJMpmU__s000000__e000086__9d4e90766f11,87,jpg,224,224,grayscale,0,87,0,86,29.97002997002997,test
yes,asldeafined,kaggle_dataset/videos/64287.mp4,1,68.0,68.0,2.266,30.004412413590234,wlasl_13,True,640.0,480.0,False,False,False,2.2663333333333333,0.0003333333333332,False,0.4669999999999996,8.125,False,False,,ok,,normalized_frames/topn_224_gray_jpg/yes/64287__s000000__e000067__b034113d2241,68,jpg,224,224,grayscale,1,68,0,67,30.004412413590234,train
