signer_id,_group_id,split
msasl_0,msasl_0,test
msasl_125,msasl_125,test
wlasl_36,wlasl_36,test
msasl_101,msasl_101,train
msasl_107,msasl_107,train
msasl_109,msasl_109,train
msasl_112,msasl_112,train
msasl_12,msasl_12,train
msasl_124,msasl_124,train
msasl_126,msasl_126,train
msasl_13,msasl_13,train
msasl_135,msasl_135,train
msasl_138,msasl_138,train
msasl_14,msasl_14,train
msasl_140,msasl_140,train
msasl_143,msasl_143,train
msasl_144,msasl_144,train
msasl_152,msasl_152,train
msasl_157,msasl_157,train
msasl_160,msasl_160,train
msasl_163,msasl_163,train
msasl_172,msasl_172,train
msasl_173,msasl_173,train
msasl_175,msasl_175,train
msasl_176,msasl_176,train
msasl_18,msasl_18,train
msasl_2,msasl_2,train
msasl_203,msasl_203,train
msasl_205,msasl_205,train
msasl_214,msasl_214,train
msasl_215,msasl_215,train
msasl_22,msasl_22,train
msasl_223,msasl_223,train
msasl_229,msasl_229,train
msasl_233,msasl_233,train
msasl_243,msasl_243,train
msasl_246,msasl_246,train
msasl_247,msasl_247,train
msasl_251,msasl_251,train
msasl_257,msasl_257,train
msasl_261,msasl_261,train
msasl_262,msasl_262,train
msasl_274,msasl_274,train
msasl_283,msasl_283,train
msasl_286,msasl_286,train
msasl_3,msasl_3,train
msasl_312,msasl_312,train
msasl_317,msasl_317,train
msasl_319,msasl_319,train
msasl_32,msasl_32,train
msasl_330,msasl_330,train
msasl_34,msasl_34,train
msasl_349,msasl_349,train
msasl_357,msasl_357,train
msasl_359,msasl_359,train
msasl_36,msasl_36,train
msasl_370,msasl_370,train
msasl_38,msasl_38,train
msasl_384,msasl_384,train
msasl_388,msasl_388,train
msasl_391,msasl_391,train
msasl_394,msasl_394,train
msasl_40,msasl_40,train
msasl_401,msasl_401,train
msasl_407,msasl_407,train
msasl_41,msasl_41,train
msasl_411,msasl_411,train
msasl_417,msasl_417,train
msasl_435,msasl_435,train
msasl_438,msasl_438,train
msasl_445,msasl_445,train
msasl_46,msasl_46,train
msasl_5,msasl_5,train
msasl_6,msasl_6,train
msasl_62,msasl_62,train
msasl_69,msasl_69,train
msasl_72,msasl_72,train
msasl_73,msasl_73,train
msasl_77,msasl_77,train
msasl_80,msasl_80,train
msasl_84,msasl_84,train
msasl_87,msasl_87,train
msasl_9,msasl_9,train
msasl_94,msasl_94,train
msasl_95,msasl_95,train
msasl_96,msasl_96,train
msasl_97,msasl_97,train
wlasl_0,wlasl_0,train
wlasl_10,wlasl_10,train
wlasl_102,wlasl_102,train
wlasl_115,wlasl_115,train
wlasl_116,wlasl_116,train
wlasl_117,wlasl_117,train
wlasl_12,wlasl_12,train
wlasl_13,wlasl_13,train
wlasl_15,wlasl_15,train
wlasl_17,wlasl_17,train
wlasl_19,wlasl_19,train
wlasl_2,wlasl_2,train
wlasl_21,wlasl_21,train
wlasl_23,wlasl_23,train
wlasl_27,wlasl_27,train
wlasl_28,wlasl_28,train
wlasl_3,wlasl_3,train
wlasl_31,wlasl_31,train
wlasl_32,wlasl_32,train
wlasl_34,wlasl_34,train
wlasl_35,wlasl_35,train
wlasl_37,wlasl_37,train
wlasl_38,wlasl_38,train
wlasl_39,wlasl_39,train
wlasl_4,wlasl_4,train
wlasl_41,wlasl_41,train
wlasl_42,wlasl_42,train
wlasl_45,wlasl_45,train
wlasl_46,wlasl_46,train
wlasl_52,wlasl_52,train
wlasl_56,wlasl_56,train
wlasl_59,wlasl_59,train
wlasl_6,wlasl_6,train
wlasl_60,wlasl_60,train
wlasl_63,wlasl_63,train
wlasl_8,wlasl_8,train
wlasl_90,wlasl_90,train
wlasl_93,wlasl_93,train
wlasl_94,wlasl_94,train
wlasl_95,wlasl_95,train
wlasl_97,wlasl_97,train
wlasl_99,wlasl_99,train
msasl_132,msasl_132,val
msasl_230,msasl_230,val
msasl_245,msasl_245,val
msasl_26,msasl_26,val
msasl_266,msasl_266,val
msasl_29,msasl_29,val
msasl_309,msasl_309,val
msasl_316,msasl_316,val
msasl_345,msasl_345,val
msasl_447,msasl_447,val
msasl_90,msasl_90,val
wlasl_100,wlasl_100,val
wlasl_107,wlasl_107,val
wlasl_11,wlasl_11,val
wlasl_118,wlasl_118,val
wlasl_78,wlasl_78,val
wlasl_88,wlasl_88,val
