label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height
book,aslbrick,kaggle_dataset/videos/69241.mp4,1,75,75,2.502,29.97002997002997,118,True,1280,720
book,aslsignbank,kaggle_dataset/videos/65225.mp4,1,,,,25,90,False,,
book,valencia-asl,kaggle_dataset/videos/68011.mp4,1,,,,25,110,False,,
book,lillybauer,kaggle_dataset/videos/68208.mp4,1,60,60,2.4,25,113,False,,
book,valencia-asl,kaggle_dataset/videos/68012.mp4,1,,,,25,109,False,,
book,northtexas,kaggle_dataset/videos/70212.mp4,2150,2249,100,4.0,25,121,False,,
book,northtexas,kaggle_dataset/videos/70266.mp4,3732,3852,121,4.84,25,121,False,,
book,aslpro,kaggle_dataset/videos/07085.mp4,1,,,,25,49,False,,
book,aslpro,kaggle_dataset/videos/07086.mp4,1,,,,25,49,False,,
book,aslpro,kaggle_dataset/videos/07087.mp4,1,,,,25,18,False,,
book,signschool,kaggle_dataset/videos/07069.mp4,1,30,30,1.251,23.976023976023978,31,True,1280,720
book,aslpro,kaggle_dataset/videos/07088.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07089.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07090.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07091.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07092.mp4,1,,,,25,49,False,,
book,aslpro,kaggle_dataset/videos/07093.mp4,1,,,,25,18,False,,
book,startasl,kaggle_dataset/videos/07068.mp4,1,68,68,2.269,29.97,36,True,736,414
book,aslpro,kaggle_dataset/videos/07094.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07095.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07096.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07097.mp4,1,,,,25,49,False,,
book,asldeafined,kaggle_dataset/videos/07070.mp4,1,86,86,2.866,30.003488777764858,59,True,640,480
book,aslpro,kaggle_dataset/videos/07098.mp4,1,,,,25,18,False,,
book,aslsearch,kaggle_dataset/videos/07099.mp4,1,87,87,2.87,30.318840916754844,12,True,720,400
book,handspeak,kaggle_dataset/videos/07071.mp4,1,,,,25,14,False,,
book,handspeak,kaggle_dataset/videos/07072.mp4,1,,,,25,14,False,,
book,handspeak,kaggle_dataset/videos/07073.mp4,1,,,,25,14,False,,
book,asllex,kaggle_dataset/videos/67424.mp4,1,,,,25,109,False,,
book,signingsavvy,kaggle_dataset/videos/07074.mp4,1,41,41,1.368,29.97,11,True,288,192
book,aslu,kaggle_dataset/videos/07075.mp4,1,,,,25,5,False,,
book,aslu,kaggle_dataset/videos/07076.mp4,1,,,,25,5,False,,
book,aslpro,kaggle_dataset/videos/07077.mp4,1,,,,25,49,False,,
book,aslpro,kaggle_dataset/videos/07078.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07079.mp4,1,,,,25,49,False,,
book,aslpro,kaggle_dataset/videos/07080.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07081.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07082.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07083.mp4,1,,,,25,18,False,,
book,aslpro,kaggle_dataset/videos/07084.mp4,1,,,,25,18,False,,
drink,aslbrick,kaggle_dataset/videos/69302.mp4,1,77,77,2.569,29.97002997002997,115,True,1920,1080
drink,aslsignbank,kaggle_dataset/videos/65539.mp4,1,44,44,1.835,23.97616914097503,94,True,656,370
drink,northtexas,kaggle_dataset/videos/70173.mp4,5710,5831,122,4.88,25,121,False,,
drink,lillybauer,kaggle_dataset/videos/68538.mp4,1,71,71,2.84,25,113,False,,
drink,valencia-asl,kaggle_dataset/videos/68042.mp4,1,,,,25,109,False,,
drink,lillybauer,kaggle_dataset/videos/68660.mp4,1,54,54,2.16,25,115,False,,
drink,valencia-asl,kaggle_dataset/videos/68041.mp4,1,,,,25,109,False,,
drink,aslu,kaggle_dataset/videos/17725.mp4,1,,,,25,5,False,,
drink,aslu,kaggle_dataset/videos/17726.mp4,1,,,,25,5,False,,
drink,nabboud,kaggle_dataset/videos/17727.mp4,1,,,,25,65,False,,
drink,aslu,kaggle_dataset/videos/17728.mp4,1,,,,25,5,False,,
drink,startasl,kaggle_dataset/videos/17710.mp4,1,70,70,2.336,29.97,36,True,736,414
drink,aslu,kaggle_dataset/videos/17729.mp4,1,,,,25,5,False,,
drink,aslu,kaggle_dataset/videos/17730.mp4,1,,,,25,5,False,,
drink,aslu,kaggle_dataset/videos/17731.mp4,1,,,,25,5,False,,
drink,aslpro,kaggle_dataset/videos/17732.mp4,1,,,,25,44,False,,
drink,aslsearch,kaggle_dataset/videos/17733.mp4,1,93,93,3.07,30.296090174893205,12,True,720,400
drink,aslsignbank,kaggle_dataset/videos/65540.mp4,1,46,46,1.919,23.976093402520384,94,True,656,370
drink,aslsearch,kaggle_dataset/videos/17734.mp4,1,89,89,2.936,30.31091262400709,12,True,720,400
drink,signschool,kaggle_dataset/videos/17711.mp4,1,81,81,2.703,29.97002997002997,52,True,854,480
drink,signschool,kaggle_dataset/videos/17712.mp4,1,43,43,1.793,23.976061111076692,6,True,1920,1080
drink,asldeafined,kaggle_dataset/videos/17713.mp4,1,91,91,3.033,30.0,21,True,640,480
drink,handspeak,kaggle_dataset/videos/17714.mp4,1,,,,25,20,False,,
drink,handspeak,kaggle_dataset/videos/17715.mp4,1,,,,25,14,False,,
drink,handspeak,kaggle_dataset/videos/17716.mp4,1,,,,25,20,False,,
drink,handspeak,kaggle_dataset/videos/17717.mp4,1,,,,25,14,False,,
drink,handspeak,kaggle_dataset/videos/17718.mp4,1,,,,25,20,False,,
drink,spreadthesign,kaggle_dataset/videos/17709.mp4,1,105,105,4.2,25.0,2,True,320,240
drink,asllex,kaggle_dataset/videos/67594.mp4,1,,,,25,109,False,,
drink,handspeak,kaggle_dataset/videos/17719.mp4,1,,,,25,14,False,,
drink,signingsavvy,kaggle_dataset/videos/17720.mp4,1,41,41,1.368,29.97,11,True,288,192
drink,signingsavvy,kaggle_dataset/videos/17721.mp4,1,49,49,1.635,29.97,10,True,288,192
drink,signingsavvy,kaggle_dataset/videos/17722.mp4,1,49,49,1.635,29.97,10,True,288,192
drink,signingsavvy,kaggle_dataset/videos/17723.mp4,1,60,60,2.002,29.97,10,True,288,192
drink,signingsavvy,kaggle_dataset/videos/17724.mp4,1,30,30,1.001,29.97,11,True,288,192
computer,asl5200,kaggle_dataset/videos/12306.mp4,5122,5181,60,2.4,25,9,False,,
computer,valencia-asl,kaggle_dataset/videos/68028.mp4,1,,,,25,109,False,,
computer,lillybauer,kaggle_dataset/videos/69054.mp4,1,72,72,2.88,25,113,False,,
computer,signingsavvy,kaggle_dataset/videos/12328.mp4,1,88,88,2.936,29.97,11,True,288,192
computer,aslu,kaggle_dataset/videos/12329.mp4,1,,,,25,5,False,,
computer,aslu,kaggle_dataset/videos/12330.mp4,1,,,,25,5,False,,
computer,startasl,kaggle_dataset/videos/12312.mp4,1,101,101,3.37,29.97002997002997,38,True,1280,720
computer,aslu,kaggle_dataset/videos/12331.mp4,1,,,,25,5,False,,
computer,nabboud,kaggle_dataset/videos/12332.mp4,1,,,,25,65,False,,
computer,aslu,kaggle_dataset/videos/12333.mp4,1,,,,25,5,False,,
computer,aslu,kaggle_dataset/videos/12335.mp4,1,,,,25,5,False,,
computer,nabboud,kaggle_dataset/videos/12336.mp4,1,,,,25,65,False,,
computer,spreadthesign,kaggle_dataset/videos/12311.mp4,1,72,72,2.402,29.97,56,True,320,240
computer,aslpro,kaggle_dataset/videos/12337.mp4,1,,,,25,72,False,,
computer,aslsearch,kaggle_dataset/videos/12338.mp4,1,107,107,3.537,30.2530212549175,41,True,720,400
computer,startasl,kaggle_dataset/videos/12313.mp4,1,81,81,2.703,29.97002997002997,38,True,1280,720
computer,signschool,kaggle_dataset/videos/12314.mp4,1,43,43,1.435,29.97002997002997,4,True,1920,1080
computer,signschool,kaggle_dataset/videos/12315.mp4,1,57,57,1.902,29.97002997002997,4,True,1920,1080
computer,signschool,kaggle_dataset/videos/12316.mp4,1,43,43,1.435,29.97002997002997,4,True,1920,1080
computer,signschool,kaggle_dataset/videos/12317.mp4,1,53,53,1.768,29.97002997002997,4,True,1920,1080
computer,signschool,kaggle_dataset/videos/12318.mp4,1,45,45,1.502,29.97002997002997,4,True,1920,1080
computer,signschool,kaggle_dataset/videos/12319.mp4,1,40,40,1.335,29.97002997002997,45,True,1920,1080
computer,asldeafined,kaggle_dataset/videos/12320.mp4,1,102,102,3.4,29.99705911185178,59,True,640,480
computer,asllex,kaggle_dataset/videos/67519.mp4,1,,,,25,109,False,,
computer,handspeak,kaggle_dataset/videos/12321.mp4,1,,,,25,20,False,,
computer,handspeak,kaggle_dataset/videos/12322.mp4,1,,,,25,20,False,,
computer,handspeak,kaggle_dataset/videos/12323.mp4,1,,,,25,20,False,,
