label,rows_total,rows_removed,anomaly_rate,median_duration
gloves,5,4,0.8,1.7
saw,3,2,0.6666666666666666,2.97
spanish,3,2,0.6666666666666666,2.669
sunrise,6,4,0.6666666666666666,2.251
meaning,6,4,0.6666666666666666,2.24
duty,8,5,0.625,2.866
grey,5,3,0.6,2.9845
post,5,3,0.6,3.168
value,5,3,0.6,2.3165
parents,7,4,0.5714285714285714,3.28
forget,13,7,0.5384615384615384,2.0175
cuba,6,3,0.5,1.368
fairy,4,2,0.5,4.213
use,10,5,0.5,2.666
grandma,6,3,0.5,3.003
cover,8,4,0.5,2.4845
tv,4,2,0.5,2.3689999999999998
fingerspell,4,2,0.5,2.4345
gay,2,1,0.5,2.436
freeway,4,2,0.5,2.7345
sweep,6,3,0.5,2.733
minus,8,4,0.5,2.251
light,8,4,0.5,2.7865
captain,4,2,0.5,3.3345000000000002
period,4,2,0.5,2.73
silent,8,4,0.5,2.9015000000000004
someday,4,2,0.5,3.001
asl,8,4,0.5,2.7445
but,10,5,0.5,2.48
knock,4,2,0.5,2.4749999999999996
stamp,4,2,0.5,3.4565
dragon,4,2,0.5,3.2365
draw,8,4,0.5,2.7525
behind,8,4,0.5,2.61
dvd,6,3,0.5,2.502
your,10,5,0.5,2.0
either,4,2,0.5,2.5515
stepfather,4,2,0.5,3.0515
color,13,6,0.46153846153846156,2.52
hearing,13,6,0.46153846153846156,2.566
last year,11,5,0.45454545454545453,2.82
all,11,5,0.45454545454545453,2.7359999999999998
give,11,5,0.45454545454545453,1.733
city,11,5,0.45454545454545453,3.036
muscle,9,4,0.4444444444444444,2.803
win,9,4,0.4444444444444444,2.836
better,9,4,0.4444444444444444,3.303
center,9,4,0.4444444444444444,1.72
milk,9,4,0.4444444444444444,2.302
clothes,9,4,0.4444444444444444,2.736
business,9,4,0.4444444444444444,3.003
like,16,7,0.4375,2.56
drink,16,7,0.4375,2.936
lie,7,3,0.42857142857142855,1.9340000000000002
truck,7,3,0.42857142857142855,2.419
fear,7,3,0.42857142857142855,2.868
search,7,3,0.42857142857142855,3.1685
therapy,7,3,0.42857142857142855,1.5405
mother,14,6,0.42857142857142855,2.484
shopping,7,3,0.42857142857142855,3.1185
single,7,3,0.42857142857142855,2.6345
finish,12,5,0.4166666666666667,2.24
kiss,12,5,0.4166666666666667,1.902
need,12,5,0.4166666666666667,2.736
director,5,2,0.4,2.336
weekly,5,2,0.4,3.203
a,5,2,0.4,2.769
email,5,2,0.4,2.666
else,5,2,0.4,2.266
tower,5,2,0.4,2.8
contract,5,2,0.4,2.302
international,5,2,0.4,2.8
hippopotamus,5,2,0.4,2.436
hold,5,2,0.4,2.5
daily,5,2,0.4,3.103
culture,5,2,0.4,2.836
grow up,5,2,0.4,2.366
exercise,5,2,0.4,2.566
familiar,5,2,0.4,2.603
welcome,5,2,0.4,2.0
little bit,5,2,0.4,3.17
their,5,2,0.4,2.666
law,10,4,0.4,3.5515
meet,10,4,0.4,2.3315
tend,5,2,0.4,2.366
paint,10,4,0.4,2.077
p,5,2,0.4,2.636
that,5,2,0.4,2.002
name,10,4,0.4,2.419
bridge,5,2,0.4,3.103
responsible,5,2,0.4,2.97
birthday,10,4,0.4,2.7510000000000003
teacher,10,4,0.4,2.3345000000000002
sew,5,2,0.4,3.237
bible,5,2,0.4,3.837
report,5,2,0.4,1.6
superman,5,2,0.4,3.303
slice,5,2,0.4,3.337
beg,5,2,0.4,1.9
stretch,5,2,0.4,2.48
zero,5,2,0.4,2.04
fine,13,5,0.38461538461538464,2.6025
study,13,5,0.38461538461538464,2.7195
now,13,5,0.38461538461538464,2.636
no,13,5,0.38461538461538464,2.4525
visit,13,5,0.38461538461538464,2.162
discuss,8,3,0.375,3.033
share,8,3,0.375,2.52
cough,8,3,0.375,2.536
reject,8,3,0.375,1.72
run,8,3,0.375,2.736
number,8,3,0.375,2.067
schedule,8,3,0.375,3.06
any,8,3,0.375,2.603
traffic,8,3,0.375,3.27
game,8,3,0.375,2.1
dead,8,3,0.375,2.133
invest,8,3,0.375,1.293
hit,8,3,0.375,1.48
earn,8,3,0.375,2.533
boyfriend,8,3,0.375,3.203
magazine,8,3,0.375,3.32
newspaper,8,3,0.375,3.003
polite,8,3,0.375,3.136
pay,8,3,0.375,1.869
about,8,3,0.375,2.28
person,8,3,0.375,2.033
ok,11,4,0.36363636363636365,2.402
different,11,4,0.36363636363636365,2.135
backpack,11,4,0.36363636363636365,1.768
college,11,4,0.36363636363636365,3.133
secretary,11,4,0.36363636363636365,2.669
door,11,4,0.36363636363636365,3.48
book,11,4,0.36363636363636365,2.866
blue,11,4,0.36363636363636365,2.4
headache,11,4,0.36363636363636365,2.936
dance,11,4,0.36363636363636365,3.437
know,11,4,0.36363636363636365,2.085
deaf,14,5,0.35714285714285715,1.9729999999999999
yes,14,5,0.35714285714285715,2.266
wrong,14,5,0.35714285714285715,2.6
diamond,6,2,0.3333333333333333,2.761
excuse,3,1,0.3333333333333333,1.943
stand,6,2,0.3333333333333333,2.2185
snowman,3,1,0.3333333333333333,3.275
babysitter,6,2,0.3333333333333333,3.7715
start,6,2,0.3333333333333333,2.151
warn,6,2,0.3333333333333333,2.6675
where,9,3,0.3333333333333333,2.5525
war,9,3,0.3333333333333333,2.818
wheelchair,3,1,0.3333333333333333,2.2439999999999998
world,6,2,0.3333333333333333,3.42
you,12,4,0.3333333333333333,2.2190000000000003
woman,12,4,0.3333333333333333,2.368
english,6,2,0.3333333333333333,2.9185
feel,9,3,0.3333333333333333,3.003
