label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height,invalid_duration,invalid_fps,invalid_length_frames,duration_from_frames,consistency_error_sec,is_consistency_outlier,extreme_low_thr,extreme_high_thr,is_extreme_duration,is_anomaly,removal_reason
bored,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_s-Km4Ni0Zko.mp4,4150,4160.0,11.0,0.3329999999999984,29.97,msasl_415,True,640.0,360.0,False,False,False,0.3670337003670337,0.03403370036703529,False,0.4669999999999996,8.125,True,True,extreme_duration_global
can,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HUMEcnkvhJU.mp4,7355,7368.0,14.0,0.4339999999999975,29.97,msasl_251,True,640.0,360.0,False,False,False,0.4671338004671338,0.03313380046713632,False,0.4669999999999996,8.125,True,True,extreme_duration_global
coffee,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FNt4N8WFuVY.mp4,15740,15950.0,211.0,8.798999999999978,23.867,msasl_401,True,270.0,360.0,False,False,False,8.840658650018854,0.04165865001887603,False,0.4669999999999996,8.125,True,True,extreme_duration_global
cough,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_V_Mh2uke0I4.mp4,0,136.0,137.0,8.133,16.721,msasl_2,True,640.0,360.0,False,False,False,8.193289875007476,0.06028987500747718,False,0.4669999999999996,8.125,True,True,extreme_duration_global
deaf,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FNt4N8WFuVY.mp4,758,954.0,197.0,8.211999999999996,23.867,msasl_401,True,270.0,360.0,False,False,False,8.25407466376168,0.04207466376168334,False,0.4669999999999996,8.125,True,True,extreme_duration_global
deaf,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_3RB642y8sgo.mp4,13440,13685.0,246.0,8.202999999999975,29.868,msasl_230,True,320.0,240.0,False,False,False,8.236239453595822,0.033239453595847124,False,0.4669999999999996,8.125,True,True,extreme_duration_global
dollar,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_shPBfkIYYpU.mp4,9808,9816.0,9.0,0.2669999999999959,29.97,msasl_46,True,640.0,360.0,False,False,False,0.3003003003003003,0.0333003003003044,False,0.4669999999999996,8.125,True,True,extreme_duration_global
egg,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_eRZW3DPxDGk.mp4,17120,17129.0,10.0,0.2999999999999545,30.0,msasl_312,True,640.0,360.0,False,False,False,0.3333333333333333,0.03333333333337879,False,0.4669999999999996,8.125,True,True,extreme_duration_global
eight,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_p8OYydc3WQM.mp4,9183,9197.0,15.0,0.4669999999999845,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050051606,False,0.4669999999999996,8.125,True,True,extreme_duration_global
eight,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_BchT4cGgPCc.mp4,382,396.0,15.0,0.4669999999999987,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050050185,False,0.4669999999999996,8.125,True,True,extreme_duration_global
emotional,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_s-Km4Ni0Zko.mp4,4881,4894.0,14.0,0.4329999999999927,29.97,msasl_415,True,640.0,360.0,False,False,False,0.4671338004671338,0.034133800467141096,False,0.4669999999999996,8.125,True,True,extreme_duration_global
fast,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_s-Km4Ni0Zko.mp4,2906,2919.0,14.0,0.4330000000000069,29.97,msasl_415,True,640.0,360.0,False,False,False,0.4671338004671338,0.03413380046712694,False,0.4669999999999996,8.125,True,True,extreme_duration_global
fifteen,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FwGL9FjFpYI.mp4,13828,13842.0,15.0,0.4669999999999845,29.97,msasl_26,True,1280.0,720.0,False,False,False,0.5005005005005005,0.03350050050051606,False,0.4669999999999996,8.125,True,True,extreme_duration_global
five,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_x0OA2V35g8g.mp4,977,987.0,11.0,0.3340000000000032,29.97,msasl_124,True,640.0,360.0,False,False,False,0.3670337003670337,0.033033700367030516,False,0.4669999999999996,8.125,True,True,extreme_duration_global
fox,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_DiKUdUzxRmk.mp4,2506,2517.0,12.0,0.3669999999999902,29.97,msasl_286,True,1280.0,720.0,False,False,False,0.4004004004004004,0.0334004004004102,False,0.4669999999999996,8.125,True,True,extreme_duration_global
friend,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_pv1yeA4iHmU.mp4,6193,6206.0,14.0,0.4339999999999975,29.97,msasl_319,True,640.0,360.0,False,False,False,0.4671338004671338,0.03313380046713632,False,0.4669999999999996,8.125,True,True,extreme_duration_global
from,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_75BkNdtDsoQ.mp4,10943,11063.0,121.0,11.199999999999989,25.0,msasl_77,True,640.0,360.0,False,False,False,4.84,6.359999999999989,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
from,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_75BkNdtDsoQ.mp4,10783,10943.0,161.0,11.199999999999989,25.0,msasl_77,True,640.0,360.0,False,False,False,6.44,4.759999999999988,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
furniture,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jzemBg_G8zU.mp4,7832,8052.0,221.0,8.800000000000011,25.0,msasl_77,True,640.0,360.0,False,False,False,8.84,0.03999999999998849,False,0.4669999999999996,8.125,True,True,extreme_duration_global
girl,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_U9ZcPY7pPSM.mp4,0,195.0,196.0,10.065,19.375,msasl_2,True,640.0,360.0,False,False,False,10.116129032258064,0.0511290322580642,False,0.4669999999999996,8.125,True,True,extreme_duration_global
good,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Fef0GDkOO6k.mp4,155,270.0,116.0,9.018,29.939,msasl_144,True,480.0,360.0,False,False,False,3.8745449079795584,5.143455092020442,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
good,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Fef0GDkOO6k.mp4,0,155.0,156.0,9.018,29.939,msasl_144,True,480.0,360.0,False,False,False,5.210594876248372,3.8074051237516287,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
grey,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_W_IPtdsIUOo.mp4,311,325.0,15.0,0.4669999999999987,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050050185,False,0.4669999999999996,8.125,True,True,extreme_duration_global
he,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FwGL9FjFpYI.mp4,15834,15846.0,13.0,0.3999999999999772,29.97,msasl_26,True,1280.0,720.0,False,False,False,0.4337671004337671,0.03376710043378989,False,0.4669999999999996,8.125,True,True,extreme_duration_global
he,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FwGL9FjFpYI.mp4,15870,15883.0,14.0,0.4339999999999691,29.97,msasl_26,True,1280.0,720.0,False,False,False,0.4671338004671338,0.03313380046716474,False,0.4669999999999996,8.125,True,True,extreme_duration_global
hearing,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_uPKOwziViaw.mp4,8483,8733.0,251.0,8.342000000000041,29.97,msasl_124,True,1280.0,720.0,False,False,False,8.375041708375042,0.03304170837500031,False,0.4669999999999996,8.125,True,True,extreme_duration_global
kitchen,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jzemBg_G8zU.mp4,7367,7577.0,211.0,8.399999999999977,25.0,msasl_77,True,640.0,360.0,False,False,False,8.44,0.04000000000002224,False,0.4669999999999996,8.125,True,True,extreme_duration_global
monday,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jzemBg_G8zU.mp4,698,813.0,116.0,10.800000000000004,25.0,msasl_77,True,640.0,360.0,False,False,False,4.64,6.160000000000005,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
monday,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jzemBg_G8zU.mp4,543,698.0,156.0,10.800000000000004,25.0,msasl_77,True,640.0,360.0,False,False,False,6.24,4.560000000000004,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
movie,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Tckw40A23Bc.mp4,13209,13439.0,231.0,9.199999999999932,25.0,msasl_77,True,640.0,360.0,False,False,False,9.24,0.040000000000068425,False,0.4669999999999996,8.125,True,True,extreme_duration_global
need,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_OSpNDIzYRTw.mp4,10150,10360.0,211.0,8.399999999999977,25.0,msasl_77,True,640.0,360.0,False,False,False,8.44,0.04000000000002224,False,0.4669999999999996,8.125,True,True,extreme_duration_global
new,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_MDQQ9WZNwcc.mp4,9476,9487.0,12.0,0.3669999999999618,29.97,msasl_126,True,640.0,360.0,False,False,False,0.4004004004004004,0.03340040040043862,False,0.4669999999999996,8.125,True,True,extreme_duration_global
nice,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_75BkNdtDsoQ.mp4,11132,11352.0,221.0,8.800000000000011,25.0,msasl_77,True,640.0,360.0,False,False,False,8.84,0.03999999999998849,False,0.4669999999999996,8.125,True,True,extreme_duration_global
nine,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_GCMo9e9GOWs.mp4,534,548.0,15.0,0.4669999999999987,29.97,msasl_94,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050050185,False,0.4669999999999996,8.125,True,True,extreme_duration_global
no,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jmlYtEoHKiY.mp4,0,160.0,161.0,9.314,17.179,msasl_2,True,640.0,360.0,False,False,False,9.371907561557716,0.057907561557716036,False,0.4669999999999996,8.125,True,True,extreme_duration_global
no,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_HUMEcnkvhJU.mp4,23371,23641.0,271.0,9.009000000000016,29.97,msasl_251,True,640.0,360.0,False,False,False,9.042375709042377,0.03337570904236031,False,0.4669999999999996,8.125,True,True,extreme_duration_global
not,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_l59eGcj-uqk.mp4,0,143.0,144.0,8.326,17.175,msasl_2,True,640.0,360.0,False,False,False,8.384279475982533,0.05827947598253225,False,0.4669999999999996,8.125,True,True,extreme_duration_global
not,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_8tfSHd26dj0.mp4,0,143.0,144.0,8.326,17.175,msasl_2,True,640.0,360.0,False,False,False,8.384279475982533,0.05827947598253225,False,0.4669999999999996,8.125,True,True,extreme_duration_global
party,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_PvzBgEcEPew.mp4,13921,14131.0,211.0,8.399999999999977,25.0,msasl_77,True,640.0,360.0,False,False,False,8.44,0.04000000000002224,False,0.4669999999999996,8.125,True,True,extreme_duration_global
pink,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_W_IPtdsIUOo.mp4,406,420.0,15.0,0.4669999999999987,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050050185,False,0.4669999999999996,8.125,True,True,extreme_duration_global
serious,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_s-Km4Ni0Zko.mp4,2641,2654.0,14.0,0.4340000000000117,29.97,msasl_415,True,640.0,360.0,False,False,False,0.4671338004671338,0.03313380046712211,False,0.4669999999999996,8.125,True,True,extreme_duration_global
seven,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_p8OYydc3WQM.mp4,9136,9150.0,15.0,0.4669999999999845,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050051606,False,0.4669999999999996,8.125,True,True,extreme_duration_global
seven,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_KTURNRi-wy0.mp4,5078,5092.0,15.0,0.4669999999999845,29.97,msasl_26,True,1280.0,720.0,False,False,False,0.5005005005005005,0.03350050050051606,False,0.4669999999999996,8.125,True,True,extreme_duration_global
short,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Tckw40A23Bc.mp4,11584,11804.0,221.0,8.800000000000011,25.0,msasl_77,True,640.0,360.0,False,False,False,8.84,0.03999999999998849,False,0.4669999999999996,8.125,True,True,extreme_duration_global
six,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_BchT4cGgPCc.mp4,313,327.0,15.0,0.4669999999999987,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050050185,False,0.4669999999999996,8.125,True,True,extreme_duration_global
sleep,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_FNt4N8WFuVY.mp4,14935,15131.0,197.0,8.211999999999989,23.867,msasl_401,True,270.0,360.0,False,False,False,8.25407466376168,0.042074663761690445,False,0.4669999999999996,8.125,True,True,extreme_duration_global
strange,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_s-Km4Ni0Zko.mp4,3236,3248.0,13.0,0.4000000000000057,29.97,msasl_415,True,640.0,360.0,False,False,False,0.4337671004337671,0.03376710043376141,False,0.4669999999999996,8.125,True,True,extreme_duration_global
strict,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_s-Km4Ni0Zko.mp4,3539,3549.0,11.0,0.3330000000000126,29.97,msasl_415,True,640.0,360.0,False,False,False,0.3670337003670337,0.03403370036702108,False,0.4669999999999996,8.125,True,True,extreme_duration_global
ten,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_p8OYydc3WQM.mp4,9261,9275.0,15.0,0.4669999999999845,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050051606,False,0.4669999999999996,8.125,True,True,extreme_duration_global
time,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Tckw40A23Bc.mp4,11990,12115.0,126.0,11.600000000000025,25.0,msasl_77,True,640.0,360.0,False,False,False,5.04,6.5600000000000245,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
time,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_Tckw40A23Bc.mp4,11825,11990.0,166.0,11.600000000000025,25.0,msasl_77,True,640.0,360.0,False,False,False,6.64,4.960000000000025,True,0.4669999999999996,8.125,True,True,duration_frames_fps_mismatch; extreme_duration_global
two,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_1yBEo2pewdY.mp4,576,590.0,15.0,0.4669999999999987,29.97,msasl_242,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050050185,False,0.4669999999999996,8.125,True,True,extreme_duration_global
two,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_p8OYydc3WQM.mp4,8936,8950.0,15.0,0.4669999999999845,29.97,msasl_262,True,640.0,360.0,False,False,False,0.5005005005005005,0.03350050050051606,False,0.4669999999999996,8.125,True,True,extreme_duration_global
two,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_BchT4cGgPCc.mp4,157,170.0,14.0,0.4329999999999998,29.97,msasl_262,True,640.0,360.0,False,False,False,0.4671338004671338,0.034133800467134046,False,0.4669999999999996,8.125,True,True,extreme_duration_global
wednesday,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_jzemBg_G8zU.mp4,1077,1287.0,211.0,8.399999999999999,25.0,msasl_77,True,640.0,360.0,False,False,False,8.44,0.040000000000000924,False,0.4669999999999996,8.125,True,True,extreme_duration_global
who,msasl,MS-ASL/videos_MS_ASL_raw/msasl_raw_GSvicsKANwo.mp4,0,190.0,191.0,9.5,20.0,msasl_2,True,640.0,360.0,False,False,False,9.55,0.05000000000000071,False,0.4669999999999996,8.125,True,True,extreme_duration_global
