label,source,video_path,start_frame,end_frame,length_frames,duration_sec,fps,signer_id,has_video,video_width,video_height
25,msasl,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL_raw\msasl_raw_atnHjWFYzds.mp4,0,72.0,73.0,2.88,25.0,0,True,480.0,360.0
50,msasl,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL_raw\msasl_raw_5XzA1hCvpwc.mp4,34,89.0,56.0,1.848,29.753,29,True,540.0,360.0
50,msasl,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL_raw\msasl_raw_5XzA1hCvpwc.mp4,89,169.0,81.0,2.689,29.753,29,True,540.0,360.0
50,msasl,D:\college\sem_mag_1\szum\MS-ASL\videos_MS_ASL_raw\msasl_raw_5XzA1hCvpwc.mp4,169,221.0,53.0,1.7480000000000002,29.753,29,True,540.0,360.0
a,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\01610.mp4,1,125.0,125.0,4.167,30.0,21,True,640.0,480.0
a,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\01615.mp4,1,84.0,84.0,2.769,30.33144977650333,12,True,720.0,400.0
a,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\66039.mp4,1,62.0,62.0,2.586,23.97607548596669,90,True,656.0,370.0
a,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\01612.mp4,1,30.0,30.0,1.001,29.97,11,True,288.0,192.0
a lot,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\02126.mp4,1,96.0,96.0,3.2,29.99687532548693,15,True,640.0,480.0
a lot,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\02131.mp4,1,86.0,86.0,2.836,30.322944975823244,12,True,720.0,400.0
a lot,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\02128.mp4,1,53.0,53.0,1.768,29.97,11,True,288.0,192.0
a lot,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\02129.mp4,1,32.0,32.0,1.068,29.97,11,True,288.0,192.0
a lot,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\02130.mp4,1,42.0,42.0,1.401,29.97,11,True,288.0,192.0
a lot,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\02125.mp4,1,38.0,38.0,1.585,23.97610801867613,32,True,1920.0,1080.0
a lot,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\02124.mp4,1,74.0,74.0,2.96,25.0,26,True,320.0,240.0
abdomen,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00336.mp4,1,65.0,65.0,2.166,30.004616094783813,13,True,640.0,480.0
abdomen,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00341.mp4,1,84.0,84.0,2.769,30.33144977650333,12,True,720.0,400.0
abdomen,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00338.mp4,1,72.0,72.0,2.402,29.97,10,True,288.0,192.0
abdomen,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00339.mp4,1,61.0,61.0,2.035,29.97,10,True,288.0,192.0
abdomen,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00335.mp4,1,58.0,58.0,2.32,25.0,2,True,320.0,240.0
about,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00416.mp4,1,116.0,116.0,3.866,30.002586429864643,13,True,640.0,480.0
about,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00426.mp4,1,98.0,98.0,3.237,30.2792812297034,12,True,720.0,400.0
about,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65002.mp4,1,72.0,72.0,3.003,23.976023976023978,89,True,656.0,370.0
about,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65003.mp4,1,47.0,47.0,1.96,23.9760579506422,89,True,656.0,370.0
about,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00421.mp4,1,34.0,34.0,1.134,29.97,11,True,288.0,192.0
about,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00415.mp4,1,38.0,38.0,1.585,23.97610801867613,27,True,1920.0,1080.0
about,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00414.mp4,1,105.0,105.0,2.1,50.0,26,True,320.0,240.0
above,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00431.mp4,1,122.0,122.0,4.066,30.002459217968685,13,True,640.0,480.0
above,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00435.mp4,1,103.0,103.0,3.403,30.264120236472905,12,True,720.0,400.0
above,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65004.mp4,1,64.0,64.0,2.669,23.976023976023978,88,True,656.0,370.0
above,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00433.mp4,1,80.0,80.0,2.669,29.97,10,True,288.0,192.0
above,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00430.mp4,1,52.0,52.0,1.735,29.97002997002997,3,True,1920.0,1080.0
accent,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65006.mp4,1,62.0,62.0,2.586,23.97607548596669,88,True,656.0,370.0
accent,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00583.mp4,1,38.0,38.0,1.268,29.97002997002997,4,True,1920.0,1080.0
accent,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00584.mp4,1,42.0,42.0,1.401,29.97002997002997,4,True,1920.0,1080.0
accent,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00585.mp4,1,38.0,38.0,1.268,29.97002997002997,4,True,1920.0,1080.0
accent,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00586.mp4,1,39.0,39.0,1.301,29.97002997002997,4,True,1920.0,1080.0
accept,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00597.mp4,1,128.0,128.0,4.266,30.00234393311977,13,True,640.0,480.0
accept,aslsearch,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00603.mp4,1,85.0,85.0,2.803,30.327146751747044,12,True,720.0,400.0
accept,aslsignbank,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\65007.mp4,1,49.0,49.0,2.044,23.976121739981405,89,True,656.0,370.0
accept,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00599.mp4,1,40.0,40.0,1.335,29.97,11,True,288.0,192.0
accept,signingsavvy,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00600.mp4,1,30.0,30.0,1.001,29.97,11,True,288.0,192.0
accept,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00593.mp4,1,28.0,28.0,1.168,23.976023976023978,4,True,1920.0,1080.0
accept,signschool,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00594.mp4,1,36.0,36.0,1.201,29.97002997002997,6,True,1920.0,1080.0
accept,spreadthesign,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00592.mp4,1,125.0,125.0,5.0,25.0,26,True,320.0,240.0
accident,aslbrick,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\69284.mp4,1,90.0,90.0,3.003,29.97002997002997,115,True,1280.0,720.0
accident,asldeafined,C:\Users\kacpe\source\repos\szum\kaggle_dataset\videos\00629.mp4,1,149.0,149.0,4.966,30.00201355795691,13,True,640.0,480.0
